ODS,Year,Q,Variable,Value
RDR,2016,Q3,General and Accute - Available,122
RDR,2016,Q3,General and Accute - Occupied,113
RDU,2016,Q3,General and Accute - Available,1302
RDU,2016,Q3,General and Accute - Occupied,1204
RDY,2016,Q3,General and Accute - Available,
RDY,2016,Q3,General and Accute - Occupied,
RDZ,2016,Q3,General and Accute - Available,547
RDZ,2016,Q3,General and Accute - Occupied,517
REF,2016,Q3,General and Accute - Available,706
REF,2016,Q3,General and Accute - Occupied,611
RH5,2016,Q3,General and Accute - Available,243
RH5,2016,Q3,General and Accute - Occupied,217
RH8,2016,Q3,General and Accute - Available,906
RH8,2016,Q3,General and Accute - Occupied,777
RHM,2016,Q3,General and Accute - Available,1095
RHM,2016,Q3,General and Accute - Occupied,1033
RHU,2016,Q3,General and Accute - Available,993
RHU,2016,Q3,General and Accute - Occupied,947
RHW,2016,Q3,General and Accute - Available,653
RHW,2016,Q3,General and Accute - Occupied,557
RJ8,2016,Q3,General and Accute - Available,163
RJ8,2016,Q3,General and Accute - Occupied,152
RK9,2016,Q3,General and Accute - Available,876
RK9,2016,Q3,General and Accute - Occupied,794
RN3,2016,Q3,General and Accute - Available,495
RN3,2016,Q3,General and Accute - Occupied,468
RN5,2016,Q3,General and Accute - Available,816
RN5,2016,Q3,General and Accute - Occupied,705
RN7,2016,Q3,General and Accute - Available,502
RN7,2016,Q3,General and Accute - Occupied,493
RNU,2016,Q3,General and Accute - Available,144
RNU,2016,Q3,General and Accute - Occupied,141
RNZ,2016,Q3,General and Accute - Available,460
RNZ,2016,Q3,General and Accute - Occupied,361
RPA,2016,Q3,General and Accute - Available,494
RPA,2016,Q3,General and Accute - Occupied,491
RPC,2016,Q3,General and Accute - Available,65
RPC,2016,Q3,General and Accute - Occupied,39
RTH,2016,Q3,General and Accute - Available,1134
RTH,2016,Q3,General and Accute - Occupied,1005
RTK,2016,Q3,General and Accute - Available,504
RTK,2016,Q3,General and Accute - Occupied,440
RTP,2016,Q3,General and Accute - Available,623
RTP,2016,Q3,General and Accute - Occupied,572
RTQ,2016,Q3,General and Accute - Available,
RTQ,2016,Q3,General and Accute - Occupied,
RVJ,2016,Q3,General and Accute - Available,882
RVJ,2016,Q3,General and Accute - Occupied,857
RVN,2016,Q3,General and Accute - Available,
RVN,2016,Q3,General and Accute - Occupied,
RVV,2016,Q3,General and Accute - Available,1015
RVV,2016,Q3,General and Accute - Occupied,950
RW1,2016,Q3,General and Accute - Available,64
RW1,2016,Q3,General and Accute - Occupied,59
RWF,2016,Q3,General and Accute - Available,768
RWF,2016,Q3,General and Accute - Occupied,721
RWV,2016,Q3,General and Accute - Available,
RWV,2016,Q3,General and Accute - Occupied,
RWX,2016,Q3,General and Accute - Available,46
RWX,2016,Q3,General and Accute - Occupied,42
RX2,2016,Q3,General and Accute - Available,
RX2,2016,Q3,General and Accute - Occupied,
RXC,2016,Q3,General and Accute - Available,751
RXC,2016,Q3,General and Accute - Occupied,672
RXH,2016,Q3,General and Accute - Available,823
RXH,2016,Q3,General and Accute - Occupied,778
RXQ,2016,Q3,General and Accute - Available,713
RXQ,2016,Q3,General and Accute - Occupied,672
RXX,2016,Q3,General and Accute - Available,
RXX,2016,Q3,General and Accute - Occupied,
RXY,2016,Q3,General and Accute - Available,
RXY,2016,Q3,General and Accute - Occupied,
RYR,2016,Q3,General and Accute - Available,926
RYR,2016,Q3,General and Accute - Occupied,918
RAE,2017,Q4,General and Accute - Available,648
