ODS,Year,Q,Variable,Value
R0A,2018,Q1,General and Accute - Available,1969
R0A,2018,Q1,General and Accute - Occupied,1769
RAE,2018,Q1,General and Accute - Available,720
RAE,2018,Q1,General and Accute - Occupied,711
RBL,2018,Q1,General and Accute - Available,762
RBL,2018,Q1,General and Accute - Occupied,690
RBN,2018,Q1,General and Accute - Available,678
RBN,2018,Q1,General and Accute - Occupied,638
RBQ,2018,Q1,General and Accute - Available,154
RBQ,2018,Q1,General and Accute - Occupied,125
RBS,2018,Q1,General and Accute - Available,235
RBS,2018,Q1,General and Accute - Occupied,136
RBT,2018,Q1,General and Accute - Available,490
RBT,2018,Q1,General and Accute - Occupied,455
RBV,2018,Q1,General and Accute - Available,175
RBV,2018,Q1,General and Accute - Occupied,149
RCB,2018,Q1,General and Accute - Available,939
RCB,2018,Q1,General and Accute - Occupied,881
RCD,2018,Q1,General and Accute - Available,300
RCD,2018,Q1,General and Accute - Occupied,263
RCF,2018,Q1,General and Accute - Available,308
RCF,2018,Q1,General and Accute - Occupied,275
RCU,2018,Q1,General and Accute - Available,140
RCU,2018,Q1,General and Accute - Occupied,96
RE9,2018,Q1,General and Accute - Available,305
RE9,2018,Q1,General and Accute - Occupied,262
REM,2018,Q1,General and Accute - Available,794
REM,2018,Q1,General and Accute - Occupied,752
REN,2018,Q1,General and Accute - Available,105
REN,2018,Q1,General and Accute - Occupied,70
REP,2018,Q1,General and Accute - Available,24
REP,2018,Q1,General and Accute - Occupied,17
RET,2018,Q1,General and Accute - Available,169
RET,2018,Q1,General and Accute - Occupied,141
RFF,2018,Q1,General and Accute - Available,389
RFF,2018,Q1,General and Accute - Occupied,336
RFR,2018,Q1,General and Accute - Available,418
RFR,2018,Q1,General and Accute - Occupied,386
RGD,2018,Q1,General and Accute - Available,
RGD,2018,Q1,General and Accute - Occupied,
RHQ,2018,Q1,General and Accute - Available,1455
RHQ,2018,Q1,General and Accute - Occupied,1352
RJL,2018,Q1,General and Accute - Available,745
RJL,2018,Q1,General and Accute - Occupied,655
RJN,2018,Q1,General and Accute - Available,313
RJN,2018,Q1,General and Accute - Occupied,274
