ODS,Year,Q,Variable,Value
 RAE ,2017,Q1,General and Accute - Available,644
 RAE ,2017,Q1,General and Accute - Occupied,423
 RBL ,2017,Q1,General and Accute - Available,722
 RBL ,2017,Q1,General and Accute - Occupied,637
 RBN ,2017,Q1,General and Accute - Available,669
 RBN ,2017,Q1,General and Accute - Occupied,630
 RBQ ,2017,Q1,General and Accute - Available,150
 RBQ ,2017,Q1,General and Accute - Occupied,135
 RBS ,2017,Q1,General and Accute - Available,227
 RBS ,2017,Q1,General and Accute - Occupied,185
 RBT ,2017,Q1,General and Accute - Available,546
 RBT ,2017,Q1,General and Accute - Occupied,460
 RBV ,2017,Q1,General and Accute - Available,177
 RBV ,2017,Q1,General and Accute - Occupied,160
 RCB ,2017,Q1,General and Accute - Available,984
 RCB ,2017,Q1,General and Accute - Occupied,898
 RCD ,2017,Q1,General and Accute - Available,310
 RCD ,2017,Q1,General and Accute - Occupied,265
 RCF ,2017,Q1,General and Accute - Available,340
 RCF ,2017,Q1,General and Accute - Occupied,308
 RCU ,2017,Q1,General and Accute - Available,139
 RCU ,2017,Q1,General and Accute - Occupied,97
 RE9 ,2017,Q1,General and Accute - Available,303
 RE9 ,2017,Q1,General and Accute - Occupied,254
 REM ,2017,Q1,General and Accute - Available,726
 REM ,2017,Q1,General and Accute - Occupied,695
 REN ,2017,Q1,General and Accute - Available,74
 REN ,2017,Q1,General and Accute - Occupied,43
 REP ,2017,Q1,General and Accute - Available,31
 REP ,2017,Q1,General and Accute - Occupied,19
 RET ,2017,Q1,General and Accute - Available,169
 RET ,2017,Q1,General and Accute - Occupied,138
 RFF ,2017,Q1,General and Accute - Available,336
 RFF ,2017,Q1,General and Accute - Occupied,326
 RFR ,2017,Q1,General and Accute - Available,442
 RFR ,2017,Q1,General and Accute - Occupied,405
 RGD ,2017,Q1,General and Accute - Available,
 RGD ,2017,Q1,General and Accute - Occupied,
 RHQ ,2017,Q1,General and Accute - Available,1485
 RHQ ,2017,Q1,General and Accute - Occupied,1429
 RJL ,2017,Q1,General and Accute - Available,746
 RJL ,2017,Q1,General and Accute - Occupied,640
 RJN ,2017,Q1,General and Accute - Available,312
 RJN ,2017,Q1,General and Accute - Occupied,274
 RJR ,2017,Q1,General and Accute - Available,527
 RJR ,2017,Q1,General and Accute - Occupied,497
 RLN ,2017,Q1,General and Accute - Available,728
 RLN ,2017,Q1,General and Accute - Occupied,583
 RM2 ,2017,Q1,General and Accute - Available,742
 RM2 ,2017,Q1,General and Accute - Occupied,661
 RM3 ,2017,Q1,General and Accute - Available,774
 RM3 ,2017,Q1,General and Accute - Occupied,703
 RMC ,2017,Q1,General and Accute - Available,588
 RMC ,2017,Q1,General and Accute - Occupied,511
 RMP ,2017,Q1,General and Accute - Available,416
 RMP ,2017,Q1,General and Accute - Occupied,387
 RNL ,2017,Q1,General and Accute - Available,544
 RNL ,2017,Q1,General and Accute - Occupied,476
 RNN ,2017,Q1,General and Accute - Available,
 RNN ,2017,Q1,General and Accute - Occupied,
 RP5 ,2017,Q1,General and Accute - Available,757
 RP5 ,2017,Q1,General and Accute - Occupied,675
 RQ6 ,2017,Q1,General and Accute - Available,814
 RQ6 ,2017,Q1,General and Accute - Occupied,749
 RR7 ,2017,Q1,General and Accute - Available,503
 RR7 ,2017,Q1,General and Accute - Occupied,444
 RR8 ,2017,Q1,General and Accute - Available,1699
 RR8 ,2017,Q1,General and Accute - Occupied,1600
 RRF ,2017,Q1,General and Accute - Available,463
 RRF ,2017,Q1,General and Accute - Occupied,384
 RT2 ,2017,Q1,General and Accute - Available,
 RT2 ,2017,Q1,General and Accute - Occupied,
 RTD ,2017,Q1,General and Accute - Available,1490
 RTD ,2017,Q1,General and Accute - Occupied,1243
 RTF ,2017,Q1,General and Accute - Available,920
 RTF ,2017,Q1,General and Accute - Occupied,749
 RTR ,2017,Q1,General and Accute - Available,899
 RTR ,2017,Q1,General and Accute - Occupied,796
 RTV ,2017,Q1,General and Accute - Available,
 RTV ,2017,Q1,General and Accute - Occupied,
 RTX ,2017,Q1,General and Accute - Available,679
 RTX ,2017,Q1,General and Accute - Occupied,558
 RV9 ,2017,Q1,General and Accute - Available,
 RV9 ,2017,Q1,General and Accute - Occupied,
 RVW ,2017,Q1,General and Accute - Available,609
 RVW ,2017,Q1,General and Accute - Occupied,498
 RVY ,2017,Q1,General and Accute - Available,433
 RVY ,2017,Q1,General and Accute - Occupied,351
 RW3 ,2017,Q1,General and Accute - Available,1082
 RW3 ,2017,Q1,General and Accute - Occupied,970
 RW4 ,2017,Q1,General and Accute - Available,
 RW4 ,2017,Q1,General and Accute - Occupied,
 RW5 ,2017,Q1,General and Accute - Available,
 RW5 ,2017,Q1,General and Accute - Occupied,
 RW6 ,2017,Q1,General and Accute - Available,1082
 RW6 ,2017,Q1,General and Accute - Occupied,968
 RWA ,2017,Q1,General and Accute - Available,991
 RWA ,2017,Q1,General and Accute - Occupied,899
 RWJ ,2017,Q1,General and Accute - Available,694
 RWJ ,2017,Q1,General and Accute - Occupied,582
 RWW ,2017,Q1,General and Accute - Available,538
 RWW ,2017,Q1,General and Accute - Occupied,463
 RWY ,2017,Q1,General and Accute - Available,784
 RWY ,2017,Q1,General and Accute - Occupied,601
 RX3 ,2017,Q1,General and Accute - Available,
 RX3 ,2017,Q1,General and Accute - Occupied,
 RX4 ,2017,Q1,General and Accute - Available,49
 RX4 ,2017,Q1,General and Accute - Occupied,39
 RXA ,2017,Q1,General and Accute - Available,
 RXA ,2017,Q1,General and Accute - Occupied,
 RXE ,2017,Q1,General and Accute - Available,62
 RXE ,2017,Q1,General and Accute - Occupied,47
 RXF ,2017,Q1,General and Accute - Available,1018
 RXF ,2017,Q1,General and Accute - Occupied,918
 RXG ,2017,Q1,General and Accute - Available,76
 RXG ,2017,Q1,General and Accute - Occupied,68
 RXL ,2017,Q1,General and Accute - Available,761
 RXL ,2017,Q1,General and Accute - Occupied,712
 RXN ,2017,Q1,General and Accute - Available,810
 RXN ,2017,Q1,General and Accute - Occupied,774
 RXP ,2017,Q1,General and Accute - Available,938
 RXP ,2017,Q1,General and Accute - Occupied,770
 RXR ,2017,Q1,General and Accute - Available,903
 RXR ,2017,Q1,General and Accute - Occupied,806
 RY6 ,2017,Q1,General and Accute - Available,59
 RY6 ,2017,Q1,General and Accute - Occupied,53
 TAD ,2017,Q1,General and Accute - Available,
 TAD ,2017,Q1,General and Accute - Occupied,
 TAH ,2017,Q1,General and Accute - Available,
 TAH ,2017,Q1,General and Accute - Occupied,
 R1A ,2017,Q1,General and Accute - Available,39
 R1A ,2017,Q1,General and Accute - Occupied,37
 R1E ,2017,Q1,General and Accute - Available,146
 R1E ,2017,Q1,General and Accute - Occupied,136
 R1L ,2017,Q1,General and Accute - Available,77
 R1L ,2017,Q1,General and Accute - Occupied,70
 RAJ ,2017,Q1,General and Accute - Available,527
 RAJ ,2017,Q1,General and Accute - Occupied,454
 RBK ,2017,Q1,General and Accute - Available,474
 RBK ,2017,Q1,General and Accute - Occupied,409
 RC1 ,2017,Q1,General and Accute - Available,377
 RC1 ,2017,Q1,General and Accute - Occupied,362
 RC9 ,2017,Q1,General and Accute - Available,614
 RC9 ,2017,Q1,General and Accute - Occupied,556
 RCX ,2017,Q1,General and Accute - Available,445
 RCX ,2017,Q1,General and Accute - Occupied,395
 RD8 ,2017,Q1,General and Accute - Available,427
 RD8 ,2017,Q1,General and Accute - Occupied,424
 RDD ,2017,Q1,General and Accute - Available,637
 RDD ,2017,Q1,General and Accute - Occupied,631
 RDE ,2017,Q1,General and Accute - Available,571
 RDE ,2017,Q1,General and Accute - Occupied,523
 RFS ,2017,Q1,General and Accute - Available,491
 RFS ,2017,Q1,General and Accute - Occupied,447
 RGM ,2017,Q1,General and Accute - Available,213
 RGM ,2017,Q1,General and Accute - Occupied,165
 RGN ,2017,Q1,General and Accute - Available,773
 RGN ,2017,Q1,General and Accute - Occupied,660
 RGP ,2017,Q1,General and Accute - Available,433
 RGP ,2017,Q1,General and Accute - Occupied,357
 RGQ ,2017,Q1,General and Accute - Available,564
 RGQ ,2017,Q1,General and Accute - Occupied,543
 RGR ,2017,Q1,General and Accute - Available,449
 RGR ,2017,Q1,General and Accute - Occupied,388
 RGT ,2017,Q1,General and Accute - Available,954
 RGT ,2017,Q1,General and Accute - Occupied,868
 RHA ,2017,Q1,General and Accute - Available,88
 RHA ,2017,Q1,General and Accute - Occupied,79
 RJC ,2017,Q1,General and Accute - Available,455
 RJC ,2017,Q1,General and Accute - Occupied,396
 RJE ,2017,Q1,General and Accute - Available,1285
 RJE ,2017,Q1,General and Accute - Occupied,1184
 RJF ,2017,Q1,General and Accute - Available,473
 RJF ,2017,Q1,General and Accute - Occupied,419
 RK5 ,2017,Q1,General and Accute - Available,569
 RK5 ,2017,Q1,General and Accute - Occupied,488
 RKB ,2017,Q1,General and Accute - Available,1076
 RKB ,2017,Q1,General and Accute - Occupied,1054
 RL1 ,2017,Q1,General and Accute - Available,159
 RL1 ,2017,Q1,General and Accute - Occupied,119
 RL4 ,2017,Q1,General and Accute - Available,818
 RL4 ,2017,Q1,General and Accute - Occupied,728
 RLQ ,2017,Q1,General and Accute - Available,265
 RLQ ,2017,Q1,General and Accute - Occupied,240
 RLT ,2017,Q1,General and Accute - Available,297
 RLT ,2017,Q1,General and Accute - Occupied,282
 RLY ,2017,Q1,General and Accute - Available,
 RLY ,2017,Q1,General and Accute - Occupied,
 RM1 ,2017,Q1,General and Accute - Available,904
 RM1 ,2017,Q1,General and Accute - Occupied,816
 RMY ,2017,Q1,General and Accute - Available,
 RMY ,2017,Q1,General and Accute - Occupied,
 RNA ,2017,Q1,General and Accute - Available,695
 RNA ,2017,Q1,General and Accute - Occupied,603
 RNQ ,2017,Q1,General and Accute - Available,603
