ODS,Year,Q,Variable,Value
RAE,2016,Q1,General and Accute - Available,645
RAE,2016,Q1,General and Accute - Occupied,515
RBL,2016,Q1,General and Accute - Available,725
RBL,2016,Q1,General and Accute - Occupied,620
RBN,2016,Q1,General and Accute - Available,666
RBN,2016,Q1,General and Accute - Occupied,602
RBQ,2016,Q1,General and Accute - Available,150
RBQ,2016,Q1,General and Accute - Occupied,126
RBS,2016,Q1,General and Accute - Available,227
RBS,2016,Q1,General and Accute - Occupied,126
RBT,2016,Q1,General and Accute - Available,574
RBT,2016,Q1,General and Accute - Occupied,487
RBV,2016,Q1,General and Accute - Available,177
RBV,2016,Q1,General and Accute - Occupied,152
RCB,2016,Q1,General and Accute - Available,1004
RCB,2016,Q1,General and Accute - Occupied,917
RCD,2016,Q1,General and Accute - Available,315
RCD,2016,Q1,General and Accute - Occupied,270
RCF,2016,Q1,General and Accute - Available,326
RCF,2016,Q1,General and Accute - Occupied,306
RCU,2016,Q1,General and Accute - Available,137
RCU,2016,Q1,General and Accute - Occupied,101
RE9,2016,Q1,General and Accute - Available,321
RE9,2016,Q1,General and Accute - Occupied,288
REM,2016,Q1,General and Accute - Available,724
REM,2016,Q1,General and Accute - Occupied,681
REN,2016,Q1,General and Accute - Available,72
REN,2016,Q1,General and Accute - Occupied,49
REP,2016,Q1,General and Accute - Available,36
REP,2016,Q1,General and Accute - Occupied,20
RET,2016,Q1,General and Accute - Available,163
RET,2016,Q1,General and Accute - Occupied,146
RFF,2016,Q1,General and Accute - Available,364
RFF,2016,Q1,General and Accute - Occupied,318
RFR,2016,Q1,General and Accute - Available,432
RFR,2016,Q1,General and Accute - Occupied,398
RGD,2016,Q1,General and Accute - Available,
RGD,2016,Q1,General and Accute - Occupied,
RHQ,2016,Q1,General and Accute - Available,1494
RHQ,2016,Q1,General and Accute - Occupied,1419
RJL,2016,Q1,General and Accute - Available,762
RJL,2016,Q1,General and Accute - Occupied,641
RJN,2016,Q1,General and Accute - Available,335
RJN,2016,Q1,General and Accute - Occupied,309
RJR,2016,Q1,General and Accute - Available,500
RJR,2016,Q1,General and Accute - Occupied,485
RJX,2016,Q1,General and Accute - Available,
RJX,2016,Q1,General and Accute - Occupied,
RLN,2016,Q1,General and Accute - Available,726
RLN,2016,Q1,General and Accute - Occupied,594
RM2,2016,Q1,General and Accute - Available,740
RM2,2016,Q1,General and Accute - Occupied,678
