ODS,Year,Q,Variable,Value
RCF,2014,Q1,General and Accute - Occupied,300
RGD,2014,Q1,General and Accute - Available,
RGD,2014,Q1,General and Accute - Occupied,
RR8,2014,Q1,General and Accute - Available,1722
RR8,2014,Q1,General and Accute - Occupied,1458
RWY,2014,Q1,General and Accute - Available,711
RWY,2014,Q1,General and Accute - Occupied,615
RXF,2014,Q1,General and Accute - Available,988
RXF,2014,Q1,General and Accute - Occupied,783
RXG,2014,Q1,General and Accute - Available,76
RXG,2014,Q1,General and Accute - Occupied,69
RY6,2014,Q1,General and Accute - Available,50
RY6,2014,Q1,General and Accute - Occupied,49
TAD,2014,Q1,General and Accute - Available,
TAD,2014,Q1,General and Accute - Occupied,
R1A,2014,Q1,General and Accute - Available,83
R1A,2014,Q1,General and Accute - Occupied,66
RJC,2014,Q1,General and Accute - Available,476
RJC,2014,Q1,General and Accute - Occupied,409
RKB,2014,Q1,General and Accute - Available,1063
RKB,2014,Q1,General and Accute - Occupied,1032
RLQ,2014,Q1,General and Accute - Available,222
RLQ,2014,Q1,General and Accute - Occupied,213
RLT,2014,Q1,General and Accute - Available,293
RLT,2014,Q1,General and Accute - Occupied,271
RWP,2014,Q1,General and Accute - Available,764
RWP,2014,Q1,General and Accute - Occupied,651
RYG,2014,Q1,General and Accute - Available,
RYG,2014,Q1,General and Accute - Occupied,
RBK,2014,Q1,General and Accute - Available,474
RBK,2014,Q1,General and Accute - Occupied,432
RL4,2014,Q1,General and Accute - Available,767
RL4,2014,Q1,General and Accute - Occupied,711
RLU,2014,Q1,General and Accute - Available,33
RLU,2014,Q1,General and Accute - Occupied,10
RNA,2014,Q1,General and Accute - Available,722
RNA,2014,Q1,General and Accute - Occupied,632
RQ3,2014,Q1,General and Accute - Available,216
RQ3,2014,Q1,General and Accute - Occupied,213
RR1,2014,Q1,General and Accute - Available,1274
RR1,2014,Q1,General and Accute - Occupied,1154
RRJ,2014,Q1,General and Accute - Available,113
RRJ,2014,Q1,General and Accute - Occupied,86
RRK,2014,Q1,General and Accute - Available,1067
RRK,2014,Q1,General and Accute - Occupied,1035
RXK,2014,Q1,General and Accute - Available,791
RXK,2014,Q1,General and Accute - Occupied,663
RXT,2014,Q1,General and Accute - Available,
RXT,2014,Q1,General and Accute - Occupied,
RYK,2014,Q1,General and Accute - Available,
RYK,2014,Q1,General and Accute - Occupied,
RYW,2014,Q1,General and Accute - Available,276
RYW,2014,Q1,General and Accute - Occupied,248
TAJ,2014,Q1,General and Accute - Available,
TAJ,2014,Q1,General and Accute - Occupied,
RFS,2014,Q1,General and Accute - Available,526
RFS,2014,Q1,General and Accute - Occupied,474
RHA,2014,Q1,General and Accute - Available,84
RHA,2014,Q1,General and Accute - Occupied,79
RK5,2014,Q1,General and Accute - Available,694
RK5,2014,Q1,General and Accute - Occupied,648
RTG,2014,Q1,General and Accute - Available,1026
RTG,2014,Q1,General and Accute - Occupied,894
RX1,2014,Q1,General and Accute - Available,1525
RX1,2014,Q1,General and Accute - Occupied,1350
RXM,2014,Q1,General and Accute - Available,
RXM,2014,Q1,General and Accute - Occupied,
RY8,2014,Q1,General and Accute - Available,49
RY8,2014,Q1,General and Accute - Occupied,45
RCX,2014,Q1,General and Accute - Available,405
RCX,2014,Q1,General and Accute - Occupied,362
RGM,2014,Q1,General and Accute - Available,235
RGM,2014,Q1,General and Accute - Occupied,186
RGN,2014,Q1,General and Accute - Available,574
RGN,2014,Q1,General and Accute - Occupied,524
RGP,2014,Q1,General and Accute - Available,390
RGP,2014,Q1,General and Accute - Occupied,367
RGQ,2014,Q1,General and Accute - Available,548
RGQ,2014,Q1,General and Accute - Occupied,481
RGR,2014,Q1,General and Accute - Available,448
RGR,2014,Q1,General and Accute - Occupied,332
RGT,2014,Q1,General and Accute - Available,885
RGT,2014,Q1,General and Accute - Occupied,824
RM1,2014,Q1,General and Accute - Available,977
RM1,2014,Q1,General and Accute - Occupied,905
RMY,2014,Q1,General and Accute - Available,
RMY,2014,Q1,General and Accute - Occupied,
RQQ,2014,Q1,General and Accute - Available,210
RQQ,2014,Q1,General and Accute - Occupied,188
RT1,2014,Q1,General and Accute - Available,
RT1,2014,Q1,General and Accute - Occupied,
RY3,2014,Q1,General and Accute - Available,234
RY3,2014,Q1,General and Accute - Occupied,210
RYV,2014,Q1,General and Accute - Available,103
RYV,2014,Q1,General and Accute - Occupied,66
RAJ,2014,Q1,General and Accute - Available,606
RAJ,2014,Q1,General and Accute - Occupied,466
RDD,2014,Q1,General and Accute - Available,629
RDD,2014,Q1,General and Accute - Occupied,617
RDE,2014,Q1,General and Accute - Available,626
RDE,2014,Q1,General and Accute - Occupied,547
