ODS,Year,Q,Variable,Value
R1H,2019,Q1,General and Accute - Available,1632
R1H,2019,Q1,General and Accute - Occupied,1586
R1K,2019,Q1,General and Accute - Available,1178
R1K,2019,Q1,General and Accute - Occupied,1076
RAL,2019,Q1,General and Accute - Available,994
RAL,2019,Q1,General and Accute - Occupied,837
RAN,2019,Q1,General and Accute - Available,192
RAN,2019,Q1,General and Accute - Occupied,106
RAP,2019,Q1,General and Accute - Available,470
RAP,2019,Q1,General and Accute - Occupied,429
RAS,2019,Q1,General and Accute - Available,416
RAS,2019,Q1,General and Accute - Occupied,383
RAT,2019,Q1,General and Accute - Available,147
RAT,2019,Q1,General and Accute - Occupied,128
RAX,2019,Q1,General and Accute - Available,370
RAX,2019,Q1,General and Accute - Occupied,342
RF4,2019,Q1,General and Accute - Available,912
RF4,2019,Q1,General and Accute - Occupied,778
RJ1,2019,Q1,General and Accute - Available,1040
RJ1,2019,Q1,General and Accute - Occupied,866
RJ2,2019,Q1,General and Accute - Available,903
RJ2,2019,Q1,General and Accute - Occupied,830
RJ6,2019,Q1,General and Accute - Available,475
RJ6,2019,Q1,General and Accute - Occupied,445
RJ7,2019,Q1,General and Accute - Available,871
RJ7,2019,Q1,General and Accute - Occupied,780
RJZ,2019,Q1,General and Accute - Available,1320
RJZ,2019,Q1,General and Accute - Occupied,1292
RKE,2019,Q1,General and Accute - Available,286
RKE,2019,Q1,General and Accute - Occupied,239
RKL,2019,Q1,General and Accute - Available,20
RKL,2019,Q1,General and Accute - Occupied,13
RP4,2019,Q1,General and Accute - Available,274
RP4,2019,Q1,General and Accute - Occupied,204
RP6,2019,Q1,General and Accute - Available,7
RP6,2019,Q1,General and Accute - Occupied,6
RPG,2019,Q1,General and Accute - Available,
RPG,2019,Q1,General and Accute - Occupied,
RPY,2019,Q1,General and Accute - Available,186
RPY,2019,Q1,General and Accute - Occupied,166
RQM,2019,Q1,General and Accute - Available,747
RQM,2019,Q1,General and Accute - Occupied,635
RQX,2019,Q1,General and Accute - Available,266
RQX,2019,Q1,General and Accute - Occupied,205
RQY,2019,Q1,General and Accute - Available,
RQY,2019,Q1,General and Accute - Occupied,
RRP,2019,Q1,General and Accute - Available,
RRP,2019,Q1,General and Accute - Occupied,
RRV,2019,Q1,General and Accute - Available,807
RRV,2019,Q1,General and Accute - Occupied,639
RT3,2019,Q1,General and Accute - Available,393
RT3,2019,Q1,General and Accute - Occupied,316
RV3,2019,Q1,General and Accute - Available,73
RV3,2019,Q1,General and Accute - Occupied,67
RVR,2019,Q1,General and Accute - Available,772
RVR,2019,Q1,General and Accute - Occupied,637
RWK,2019,Q1,General and Accute - Available,75
RWK,2019,Q1,General and Accute - Occupied,59
RYJ,2019,Q1,General and Accute - Available,1074
RYJ,2019,Q1,General and Accute - Occupied,892
RYX,2019,Q1,General and Accute - Available,
RYX,2019,Q1,General and Accute - Occupied,
TAF,2019,Q1,General and Accute - Available,
TAF,2019,Q1,General and Accute - Occupied,
R1J,2019,Q1,General and Accute - Available,
R1J,2019,Q1,General and Accute - Occupied,
RA3,2019,Q1,General and Accute - Available,264
RA3,2019,Q1,General and Accute - Occupied,262
RA4,2019,Q1,General and Accute - Available,325
RA4,2019,Q1,General and Accute - Occupied,280
RA7,2019,Q1,General and Accute - Available,753
RA7,2019,Q1,General and Accute - Occupied,698
RA9,2019,Q1,General and Accute - Available,347
RA9,2019,Q1,General and Accute - Occupied,317
RBA,2019,Q1,General and Accute - Available,569
RBA,2019,Q1,General and Accute - Occupied,511
RBD,2019,Q1,General and Accute - Available,289
RBD,2019,Q1,General and Accute - Occupied,264
RBZ,2019,Q1,General and Accute - Available,281
RBZ,2019,Q1,General and Accute - Occupied,210
RD1,2019,Q1,General and Accute - Available,626
RD1,2019,Q1,General and Accute - Occupied,586
