ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RTQ,99.54%,90.85%,90.34%,90.65%,95.63%,97.62%,95.43%,91.04%
RTV,98.44%,94.87%,93.22%,96.16%,81.14%,93.57%,83.25%,80.26%
REM,99.58%,78.45%,82.93%,77.23%,89.16%,95.69%,80.66%,91.72%
RCF,95.59%,87.00%,88.26%,86.54%,74.07%,87.70%,65.22%,68.63%
RBS,94.04%,89.36%,83.34%,93.41%,84.77%,87.72%,,78.31%
RTK,99.61%,95.33%,87.43%,98.02%,89.44%,92.88%,78.33%,81.01%
RVN,99.31%,87.55%,89.32%,86.17%,90.16%,97.44%,85.44%,84.59%
RF4,92.41%,83.77%,74.13%,86.28%,64.83%,87.06%,66.57%,72.13%
RRP,99.20%,92.80%,91.74%,93.12%,85.71%,96.31%,87.34%,83.22%
RFF,99.63%,90.35%,87.85%,90.83%,87.07%,97.23%,81.82%,84.55%
R1H,99.72%,84.20%,88.70%,83.68%,75.73%,96.02%,64.39%,68.83%
RDD,99.94%,92.76%,91.72%,93.23%,91.44%,99.59%,93.68%,94.35%
RC1,99.91%,96.44%,89.81%,97.63%,86.20%,98.44%,87.21%,86.27%
RWX,98.95%,95.49%,93.96%,96.81%,98.05%,98.64%,98.58%,97.19%
RXT,99.60%,96.87%,95.90%,98.13%,93.90%,96.69%,84.83%,89.01%
RQ3,99.51%,88.68%,82.38%,91.09%,91.42%,97.73%,83.33%,92.94%
RYW,99.79%,80.64%,84.11%,78.29%,76.25%,93.91%,79.78%,82.87%
RLU,99.76%,93.60%,81.53%,97.66%,90.93%,96.30%,80.74%,78.12%
RXL,99.35%,93.65%,89.34%,94.67%,90.01%,96.53%,69.31%,77.60%
RMC,99.46%,93.07%,95.47%,93.06%,84.12%,97.28%,82.06%,87.98%
RAE,98.14%,78.88%,88.02%,77.46%,77.80%,87.43%,64.47%,65.30%
RY2,95.05%,81.19%,72.96%,88.48%,91.67%,92.31%,81.15%,80.47%
RXH,97.71%,87.46%,92.82%,85.30%,78.68%,85.37%,58.07%,67.23%
RXQ,97.65%,91.30%,92.44%,90.97%,71.82%,89.51%,57.15%,66.99%
RJF,97.91%,80.62%,80.36%,80.79%,79.46%,87.41%,72.45%,74.40%
RWY,99.36%,90.95%,91.79%,90.74%,89.61%,95.29%,80.01%,85.46%
RJX,99.23%,95.56%,86.40%,97.60%,95.93%,98.11%,,96.01%
RGT,98.33%,78.80%,77.91%,78.99%,87.11%,92.98%,81.25%,84.16%
RT1,99.68%,89.40%,85.32%,93.00%,87.50%,95.77%,85.22%,86.76%
RYV,97.06%,83.87%,90.28%,77.30%,91.03%,80.70%,,95.86%
RV3,98.85%,91.17%,91.56%,91.28%,91.81%,95.41%,88.80%,86.88%
RYX,96.31%,87.04%,87.45%,86.72%,76.22%,88.51%,67.46%,82.47%
RW3,97.79%,83.94%,83.73%,83.82%,84.42%,96.70%,84.68%,86.19%
RQM,99.78%,92.99%,88.66%,94.39%,87.52%,96.91%,88.10%,84.45%
RXA,99.38%,91.63%,88.77%,94.52%,92.29%,97.08%,95.43%,89.24%
RFS,98.29%,92.06%,81.81%,95.09%,87.88%,97.05%,77.39%,85.47%
RLN,99.22%,94.02%,99.15%,93.32%,86.02%,95.20%,73.21%,74.57%
REN,99.71%,80.34%,71.26%,88.99%,89.32%,96.45%,70.12%,68.00%
