ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RDE,99.43%,87.76%,92.42%,86.29%,89.16%,93.80%,68.53%,71.58%
RJ8,97.26%,88.52%,82.84%,93.00%,70.15%,86.83%,71.22%,64.92%
RJR,99.54%,91.63%,87.56%,92.90%,79.61%,92.62%,66.93%,77.61%
RXP,99.04%,96.59%,95.45%,97.04%,91.20%,94.92%,74.77%,79.54%
RYG,96.96%,94.63%,91.05%,97.83%,92.21%,94.04%,87.55%,86.53%
RJ6,99.28%,90.29%,89.56%,90.56%,80.39%,95.81%,84.63%,86.03%
RNN,98.96%,90.41%,93.51%,87.45%,77.02%,91.95%,77.44%,84.65%
RN7,98.58%,86.81%,86.70%,86.17%,79.87%,96.96%,77.88%,81.50%
RTG,98.88%,88.04%,82.04%,89.16%,87.93%,95.38%,72.56%,80.62%
RY8,99.57%,96.65%,93.99%,99.38%,84.81%,97.81%,81.47%,88.36%
RXM,98.26%,89.90%,85.68%,93.26%,93.13%,94.50%,92.43%,88.10%
RWV,97.84%,90.26%,87.04%,92.70%,89.00%,93.29%,81.19%,78.66%
RP5,96.87%,73.04%,78.70%,70.95%,76.09%,92.40%,65.76%,71.05%
RBD,98.70%,90.86%,89.46%,91.37%,85.07%,91.14%,68.65%,76.49%
RDY,95.70%,87.34%,83.16%,90.98%,85.24%,91.06%,78.44%,77.29%
RYK,97.30%,89.01%,80.22%,99.44%,86.62%,87.79%,66.36%,69.46%
RWH,99.62%,93.56%,89.95%,94.47%,82.62%,97.02%,74.05%,82.73%
RJN,99.23%,92.48%,90.86%,93.50%,83.19%,93.82%,91.95%,96.05%
RVV,98.96%,88.86%,85.59%,89.96%,81.42%,95.99%,83.84%,87.84%
RXR,96.77%,81.78%,77.74%,83.06%,86.41%,93.35%,80.61%,79.40%
RWK,93.85%,87.82%,90.93%,86.23%,87.62%,92.65%,82.47%,79.50%
RXC,98.68%,89.10%,85.74%,90.31%,78.96%,93.52%,69.27%,79.09%
RVR,99.36%,90.92%,83.15%,93.63%,76.32%,89.05%,71.78%,74.29%
RDU,98.16%,84.00%,88.41%,82.88%,73.93%,89.58%,62.19%,68.18%
RR7,99.94%,91.53%,93.93%,90.87%,84.65%,96.52%,75.76%,81.58%
RLT,96.90%,84.38%,67.07%,87.84%,64.73%,91.16%,72.66%,74.48%
RTE,94.23%,78.36%,84.39%,76.75%,80.66%,88.13%,69.16%,67.10%
RP4,97.95%,94.31%,91.10%,94.75%,95.03%,95.36%,,79.49%
RN3,98.49%,85.95%,84.03%,86.76%,84.01%,92.94%,85.41%,85.17%
RXV,99.87%,90.30%,70.08%,98.91%,92.92%,99.03%,95.64%,92.86%
RJ1,99.42%,91.88%,94.54%,91.20%,86.52%,93.88%,77.64%,78.18%
RN5,98.19%,91.91%,91.53%,92.09%,77.50%,92.59%,65.75%,75.06%
RCD,98.92%,88.47%,88.09%,88.71%,74.36%,93.40%,69.84%,78.42%
RR1,98.67%,92.93%,89.45%,93.83%,77.57%,91.51%,60.56%,66.24%
RY4,98.72%,86.40%,87.10%,85.97%,81.48%,93.14%,78.90%,80.41%
RWR,98.50%,86.13%,85.76%,87.05%,85.70%,91.05%,75.07%,74.54%
RQQ,97.38%,91.21%,90.37%,91.93%,79.87%,87.50%,70.05%,68.49%
RQX,99.19%,91.93%,95.99%,90.94%,85.24%,92.17%,86.37%,85.33%
RY9,98.62%,89.51%,85.83%,94.95%,91.94%,98.09%,91.31%,93.41%
RWA,97.40%,90.39%,88.90%,90.70%,79.31%,88.39%,64.66%,71.03%
RV9,99.16%,89.85%,85.57%,94.75%,85.31%,90.34%,81.49%,82.92%
RYJ,98.73%,87.10%,96.20%,83.38%,71.77%,91.02%,62.62%,64.82%
RGQ,96.18%,79.56%,78.85%,79.76%,77.90%,85.27%,58.26%,59.61%
R1F,97.85%,80.23%,78.64%,80.82%,86.69%,93.59%,78.56%,70.65%
RGP,99.13%,89.36%,80.55%,93.40%,73.63%,93.41%,74.01%,81.94%
RXY,99.38%,88.64%,87.90%,89.43%,91.86%,95.63%,89.72%,87.16%
RYY,99.57%,92.76%,87.67%,97.90%,77.80%,90.29%,65.04%,72.70%
RNQ,95.33%,83.06%,78.11%,84.52%,71.61%,87.75%,78.57%,69.75%
RJZ,98.54%,97.36%,97.31%,97.37%,75.46%,93.47%,78.10%,76.30%
RAX,96.32%,92.13%,93.18%,91.95%,88.50%,89.88%,58.12%,69.83%
RW5,96.31%,89.13%,92.18%,87.30%,85.69%,93.31%,68.60%,72.59%
RXN,99.90%,89.02%,84.00%,89.95%,83.24%,95.02%,63.08%,70.39%
RGD,98.20%,91.28%,85.85%,94.84%,92.42%,96.48%,99.18%,85.19%
RY6,94.47%,83.61%,76.75%,93.19%,83.30%,94.39%,85.16%,87.06%
RR8,99.67%,94.14%,90.91%,94.78%,83.91%,96.89%,72.01%,77.76%
RT5,94.77%,85.06%,79.39%,89.30%,80.36%,86.18%,78.40%,79.38%
RY5,95.81%,82.43%,79.38%,85.68%,77.71%,80.27%,62.33%,72.26%
RP7,98.84%,82.03%,70.95%,91.11%,82.08%,90.85%,66.05%,78.45%
RY1,96.56%,86.83%,83.76%,90.15%,93.55%,90.60%,86.08%,94.41%
RBQ,99.01%,95.06%,97.48%,93.50%,87.23%,95.29%,81.40%,86.78%
REP,99.96%,89.79%,78.51%,94.95%,78.35%,94.90%,83.48%,78.15%
R1K,96.90%,89.55%,81.79%,90.66%,69.59%,92.45%,67.57%,69.99%
RC9,95.96%,74.33%,68.99%,75.32%,87.88%,94.26%,78.05%,82.90%
RWF,99.36%,92.96%,89.21%,94.40%,89.21%,95.32%,87.70%,89.59%
RPA,98.76%,80.46%,87.60%,79.08%,70.36%,89.29%,63.34%,64.73%
RW4,98.46%,92.13%,89.17%,95.40%,91.35%,93.90%,81.19%,86.71%
RQ8,99.48%,86.42%,96.49%,83.51%,88.80%,93.58%,69.33%,74.83%
RXF,97.68%,84.70%,70.70%,90.24%,77.41%,93.51%,61.31%,72.23%
RD8,98.96%,82.98%,89.27%,81.13%,85.70%,95.45%,76.32%,80.63%
RP6,99.48%,,,,94.88%,99.86%,99.13%,87.50%
RM1,99.39%,84.80%,86.77%,84.44%,90.23%,92.94%,82.55%,78.91%
RMY,98.75%,96.57%,93.91%,98.54%,89.92%,97.33%,94.38%,92.29%
RY3,99.30%,94.62%,92.62%,96.35%,86.52%,92.63%,82.30%,82.40%
RVJ,90.17%,87.42%,78.97%,88.50%,85.43%,92.59%,74.29%,81.96%
RNL,99.42%,85.30%,84.04%,86.78%,90.15%,95.58%,83.07%,88.81%
RAT,99.57%,92.25%,87.28%,97.60%,81.64%,87.13%,74.80%,75.36%
RRD,99.09%,87.49%,84.33%,90.90%,79.33%,92.20%,80.87%,81.53%
RAP,97.02%,88.95%,90.70%,88.52%,80.69%,94.87%,79.58%,80.71%
RLY,99.60%,97.20%,92.97%,99.88%,97.54%,98.44%,96.26%,96.48%
RVW,98.87%,97.04%,96.87%,97.11%,90.37%,95.68%,85.45%,78.33%
RNS,99.66%,87.71%,85.07%,88.37%,89.98%,97.45%,82.29%,89.28%
RP1,99.35%,94.54%,90.69%,96.58%,89.32%,97.84%,92.75%,92.41%
RBZ,98.13%,88.12%,82.72%,90.74%,80.27%,92.55%,75.94%,79.72%
RJL,97.36%,84.38%,85.28%,84.24%,83.28%,92.61%,53.71%,65.37%
RX4,99.26%,89.52%,86.49%,92.32%,94.00%,95.55%,82.49%,82.55%
RTF,99.98%,99.13%,98.36%,99.67%,97.46%,98.39%,96.00%,94.28%
RX1,94.83%,85.85%,88.68%,85.57%,81.38%,93.40%,72.80%,78.76%
RHA,96.65%,92.08%,88.18%,94.32%,91.24%,94.64%,84.00%,87.03%
RNU,99.15%,92.85%,92.16%,93.49%,94.14%,98.33%,96.88%,92.96%
RTH,97.29%,82.84%,86.70%,81.60%,86.90%,91.83%,77.10%,77.89%
RPG,98.01%,91.16%,88.39%,94.30%,92.34%,96.87%,89.48%,91.54%
RGM,99.30%,91.29%,82.34%,93.14%,76.10%,95.97%,82.27%,80.47%
RW6,94.40%,88.47%,89.92%,88.50%,83.07%,90.53%,58.47%,71.89%
RT2,98.44%,88.96%,84.55%,93.57%,84.42%,91.23%,66.00%,72.44%
RGN,98.71%,80.30%,81.61%,79.74%,88.64%,95.93%,82.47%,86.37%
RK9,98.07%,85.94%,83.98%,86.28%,84.33%,85.61%,67.10%,68.48%
RD3,98.57%,84.15%,79.51%,85.17%,91.73%,94.14%,88.29%,86.78%
RHU,98.35%,88.64%,84.82%,89.33%,88.63%,95.39%,87.06%,87.82%
RPC,99.75%,89.47%,87.47%,90.67%,87.80%,91.47%,67.36%,72.49%
RL1,98.54%,83.29%,89.34%,79.45%,77.48%,83.83%,57.94%,63.60%
RXE,98.51%,86.75%,83.13%,88.39%,90.69%,96.20%,76.84%,79.98%
RHW,99.47%,98.07%,97.58%,98.19%,91.04%,96.55%,85.25%,80.89%
RT3,99.30%,93.84%,96.60%,92.92%,88.82%,94.79%,83.25%,81.06%
REF,98.78%,84.49%,82.00%,85.84%,83.79%,91.02%,80.15%,79.22%
RH8,98.48%,89.17%,90.73%,88.98%,77.30%,93.60%,75.97%,81.60%
RAL,99.45%,86.17%,92.72%,84.80%,78.88%,94.31%,63.90%,68.69%
RQ6,99.40%,90.19%,93.77%,89.46%,88.32%,97.18%,76.51%,81.65%
RAN,97.36%,85.30%,91.61%,81.69%,85.97%,88.08%,65.20%,72.29%
RRJ,97.08%,82.03%,82.78%,81.75%,76.68%,94.58%,87.92%,81.72%
RA2,99.82%,92.21%,91.03%,92.61%,88.44%,96.43%,89.90%,86.30%
RD1,98.75%,90.69%,87.60%,91.38%,76.53%,89.40%,62.86%,66.07%
RM3,95.66%,80.19%,86.17%,78.57%,87.52%,94.87%,81.40%,85.57%
RNZ,99.29%,94.76%,99.32%,93.46%,92.79%,96.14%,86.19%,85.67%
RXK,98.89%,92.89%,83.92%,95.90%,88.58%,96.24%,87.34%,85.47%
RCU,99.71%,86.65%,91.96%,83.94%,79.37%,97.85%,,91.65%
RHQ,99.52%,88.27%,92.25%,87.38%,86.76%,92.70%,69.04%,73.68%
RK5,99.68%,91.51%,87.34%,92.53%,86.08%,95.75%,72.69%,79.16%
RXW,99.57%,88.79%,78.00%,90.64%,67.28%,91.03%,58.18%,62.66%
R1D,98.42%,87.59%,85.07%,91.07%,82.91%,94.73%,83.51%,79.69%
R1C,97.07%,97.14%,98.02%,96.43%,90.14%,94.14%,84.58%,88.34%
RH5,99.93%,89.90%,85.83%,93.71%,90.21%,96.57%,87.08%,89.16%
RWN,99.66%,91.72%,88.02%,95.96%,93.84%,98.55%,95.21%,95.48%
RV5,99.26%,87.49%,93.23%,84.83%,96.24%,97.84%,94.96%,93.32%
RRE,99.13%,91.12%,88.19%,95.89%,93.03%,98.68%,92.41%,94.82%
RTR,98.93%,90.90%,91.41%,90.95%,83.23%,96.12%,79.95%,86.01%
RE9,97.96%,83.89%,87.38%,82.91%,86.54%,92.69%,79.35%,81.82%
RJC,99.62%,92.05%,93.27%,91.84%,80.76%,96.45%,81.61%,85.76%
RQY,98.64%,92.55%,88.95%,93.53%,89.99%,93.45%,85.87%,82.27%
RXG,98.53%,89.79%,86.08%,93.80%,89.29%,94.18%,81.36%,82.44%
RAJ,95.60%,88.99%,90.12%,88.89%,87.60%,86.46%,72.60%,82.28%
RW1,96.47%,90.34%,87.78%,92.94%,90.09%,92.64%,84.90%,89.00%
RVY,98.99%,82.94%,71.97%,87.02%,81.87%,91.66%,64.46%,71.16%
RJ7,96.70%,81.60%,78.72%,82.62%,81.08%,92.39%,67.00%,68.52%
RBN,100.00%,94.19%,94.13%,94.24%,98.35%,99.28%,94.54%,94.16%
R1E,99.20%,90.10%,84.15%,96.93%,92.78%,98.62%,94.85%,94.36%
RWJ,98.31%,89.60%,97.29%,87.78%,84.98%,92.05%,62.12%,72.20%
RXX,98.29%,92.30%,88.97%,96.53%,93.14%,97.65%,92.74%,94.07%
RTP,99.50%,88.95%,86.88%,89.42%,81.48%,95.57%,68.31%,72.77%
RDR,98.93%,92.40%,88.58%,95.21%,78.77%,89.17%,69.05%,75.01%
RX2,96.62%,89.00%,87.34%,91.63%,87.00%,93.80%,77.91%,88.01%
RMP,97.26%,88.97%,90.74%,88.46%,82.87%,95.19%,87.06%,90.95%
RBA,99.47%,93.43%,88.51%,94.58%,86.55%,95.32%,79.15%,79.52%
RX3,96.77%,91.64%,85.89%,94.35%,85.58%,91.79%,79.00%,76.40%
RBV,99.04%,94.44%,94.73%,94.29%,92.86%,97.67%,83.98%,84.57%
RNA,99.14%,80.74%,83.46%,80.01%,84.01%,96.59%,80.95%,87.77%
RAS,97.59%,95.80%,99.22%,94.48%,83.11%,86.31%,69.39%,68.17%
RJ2,94.93%,85.52%,89.44%,85.13%,82.28%,88.97%,73.35%,78.98%
RBT,98.60%,81.49%,93.41%,77.48%,89.89%,91.73%,78.32%,77.76%
RTD,99.91%,88.21%,83.79%,89.22%,94.70%,97.07%,58.55%,69.08%
RQW,97.63%,86.59%,77.92%,89.25%,79.78%,93.83%,80.32%,74.77%
RCX,98.69%,86.91%,86.86%,86.93%,78.31%,89.90%,72.90%,68.75%
RFR,97.74%,91.02%,86.80%,92.18%,73.58%,88.21%,69.58%,73.22%
RDZ,96.00%,85.76%,88.22%,85.25%,79.89%,92.09%,74.42%,81.29%
RPY,99.13%,96.19%,95.75%,96.40%,91.70%,96.41%,69.34%,77.47%
RL4,95.36%,92.11%,88.77%,93.30%,78.66%,92.88%,77.91%,75.52%
RKE,98.32%,82.63%,83.18%,82.39%,89.06%,94.81%,90.93%,84.93%
RA9,98.51%,90.19%,95.00%,88.12%,81.82%,93.62%,77.85%,79.74%
RWD,93.35%,82.57%,90.18%,80.81%,80.32%,85.64%,61.65%,68.59%
RRV,99.56%,86.08%,84.73%,86.95%,86.92%,97.20%,76.90%,85.87%
RRK,98.94%,93.78%,88.75%,94.72%,89.82%,97.49%,86.09%,92.06%
RJE,99.52%,88.65%,84.77%,89.66%,86.99%,96.81%,80.11%,85.47%
RM2,98.08%,88.87%,85.88%,89.80%,86.63%,95.14%,80.15%,80.26%
RHM,95.84%,78.23%,87.33%,76.11%,79.32%,89.99%,57.27%,61.18%
RA7,99.54%,95.87%,96.35%,95.52%,90.33%,93.83%,86.66%,77.04%
RKB,98.91%,88.13%,81.55%,89.49%,89.44%,94.93%,76.78%,81.77%
RWE,90.37%,78.07%,79.44%,77.72%,75.84%,80.23%,62.72%,67.51%
RTX,94.70%,84.47%,74.80%,88.91%,86.06%,89.65%,80.13%,78.27%
RBK,97.99%,88.28%,86.16%,88.69%,83.29%,94.12%,78.27%,77.74%
RET,99.90%,97.80%,99.17%,96.79%,96.10%,98.21%,93.54%,95.97%
RWW,97.62%,84.09%,87.63%,82.71%,79.04%,88.35%,53.62%,58.14%
RWG,98.09%,80.57%,82.02%,80.25%,69.62%,89.01%,53.41%,60.41%
RKL,92.48%,79.04%,63.94%,85.13%,80.15%,89.20%,80.99%,73.22%
RGR,99.92%,83.30%,83.33%,83.28%,79.25%,91.19%,75.69%,74.70%
RYR,99.32%,83.99%,86.34%,82.52%,87.71%,96.20%,85.18%,83.75%
RA3,99.40%,87.24%,73.47%,91.62%,92.59%,93.35%,85.96%,81.30%
RBL,99.74%,66.15%,56.50%,71.74%,87.18%,96.49%,79.93%,84.89%
RWP,98.80%,81.65%,77.68%,83.13%,79.29%,93.30%,57.79%,67.11%
R1A,98.76%,97.22%,95.36%,99.06%,88.29%,92.17%,73.07%,80.56%
RRF,100.00%,96.84%,90.88%,98.40%,91.35%,99.63%,94.82%,94.59%
RLQ,93.84%,87.33%,85.57%,87.63%,74.63%,86.43%,71.11%,72.39%
RA4,97.13%,82.89%,79.80%,84.02%,74.32%,89.60%,68.96%,74.89%
RCB,99.48%,89.21%,87.72%,89.68%,81.85%,97.31%,75.35%,78.03%
