ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RTQ,79.87%, -, -, -,88.57%,78.46%, -,68.42%
RTV,100.00%,95.82%,92.44%,100.00%,80.56%,89.33%, -,73.79%
REM,99.62%,89.13%,81.86%,90.58%,90.65%,96.90%,83.42%,93.47%
RCF,97.21%,90.76%,84.17%,92.31%,78.35%,89.39%,74.91%,86.48%
RBS,95.78%,88.59%,79.08%,91.51%,87.50%,90.95%, -,68.58%
RTK,99.83%,91.07%,81.17%,100.00%,87.33%,92.09%,82.53%,93.00%
RVN,99.69%,88.97%,86.52%,90.23%,90.89%,98.60%,89.26%,92.00%
RF4,97.93%,94.68%,97.08%,93.93%,78.85%,97.00%,76.55%,85.07%
RRP,99.61%,96.67%,97.24%,96.27%,85.26%,91.91%,89.12%,90.40%
RFF,99.29%,87.68%,89.19%,87.30%,86.83%,95.96%,82.94%,87.01%
R1H,99.74%,89.90%,87.10%,90.83%,70.30%,93.12%,56.85%,68.92%
RDD,99.77%,92.00%,92.01%,92.00%,86.43%,98.82%,91.20%,92.04%
RC1,99.61%,96.57%,95.57%,96.76%,83.59%,95.71%,78.62%,83.31%
RWX,100.00%,95.36%,94.31%,96.40%,95.40%,97.86%,93.54%,95.35%
RXT,100.00%,93.70%,94.24%,93.23%,94.32%,100.00%, -,98.95%
RQ3,99.33%,89.89%,86.61%,93.44%,93.39%,96.91%, -,89.72%
RYW,100.00%,85.81%,88.08%,83.49%,78.85%,98.16%,88.13%,92.15%
RLU,99.38%,82.11%,77.26%,90.79%,91.11%,94.09%,59.77%,59.68%
RXL,99.68%,83.78%,85.36%,82.79%,89.91%,95.92%,85.99%,88.78%
RMC,94.88%,85.94%,81.75%,90.06%,62.74%,86.04%,58.71%,72.80%
RAE,98.21%,86.90%,85.05%,88.32%,76.00%,86.23%,75.83%,74.10%
RY2,100.00%,94.04%,94.25%,93.77%,95.16%,97.22%,84.93%,92.96%
RXH,96.40%,91.91%,91.45%,92.15%,59.69%,92.11%,64.53%,71.94%
RXQ,99.64%,84.56%,87.73%,81.42%,68.42%,82.62%,77.10%,79.55%
RJF,98.00%,92.21%,87.97%,95.63%,80.44%,91.70%,78.06%,88.05%
RWY,99.48%,95.32%,94.44%,95.48%,87.21%,95.82%,81.41%,88.90%
RJX,99.57%,94.79%,87.30%,97.72%,77.22%,95.08%,66.58%,74.33%
RGT,96.17%,82.81%,78.52%,83.24%,80.48%,91.66%,70.57%,79.55%
RT1,100.00%,74.06%,84.27%,65.79%,83.00%,95.38%,77.75%,89.13%
RYV,98.35%,84.18%,87.86%,80.97%,94.29%,94.83%, -,95.98%
RV3,100.00%,94.04%,92.29%,96.50%,85.00%,95.12%,80.78%,88.73%
RYX,97.20%,99.69%,99.28%,100.00%,87.88%,93.40%,82.25%,93.35%
RW3,99.41%,84.98%,86.95%,83.75%,83.24%,96.48%,76.70%,81.54%
RQM,99.95%,95.40%,90.45%,96.69%,90.94%,98.80%,95.85%,97.02%
RXA,99.72%,96.84%,94.29%,100.00%,94.97%,96.88%, -,86.96%
RFS,99.11%,90.92%,83.96%,92.58%,89.33%,97.11%,84.06%,91.33%
RLN,98.86%,99.33%,100.00%,98.59%,82.20%,93.23%,80.97%,84.98%
REN,99.84%,89.97%,82.14%,96.02%,82.86%,91.02%,67.16%,74.90%
RDE,99.29%,91.88%,87.03%,93.35%,85.41%,95.62%,76.39%,86.25%
RJ8,97.32%,93.36%,89.69%,96.65%,80.84%,91.67%,58.73%,69.53%
RJR,99.57%,94.79%,87.30%,97.72%,77.22%,95.08%,66.58%,74.33%
RXP,97.60%,97.02%,98.38%,96.57%,91.52%,90.73%,77.92%,80.43%
RYG,96.92%,90.50%,88.43%,92.61%,96.97%,98.76%, -,95.64%
RJ6,96.32%,95.14%,93.91%,95.62%,71.67%,90.83%,84.50%,86.98%
RNN,98.33%,94.73%,97.03%,91.53%,85.61%,95.83%,81.08%,96.01%
RN7,91.78%,88.65%,83.38%,94.91%,56.48%,87.76%,90.88%,87.51%
RTG,99.24%,92.39%,87.03%,93.18%,91.39%,97.26%,79.25%,91.96%
RY8,99.59%,94.95%,89.69%,100.00%,91.79%,98.06%,81.99%,91.09%
RXM,99.65%,91.97%,83.24%,99.27%,95.56%,96.48%, -,90.70%
RWV,98.06%,92.85%,87.92%,98.13%,95.19%,98.85%,90.57%,94.81%
RP5,99.10%,83.49%,75.67%,86.91%,84.44%,94.54%,78.45%,77.48%
RBD,99.02%,88.07%,90.67%,87.24%,85.02%,93.80%,77.60%,85.66%
RDY,100.00%, -, -, -,85.71%,96.85%,47.62%,56.52%
RYK,97.83%,89.25%,79.78%,100.00%,84.33%,92.58%,81.61%,75.04%
RWH,99.29%,87.50%,86.19%,88.04%,80.83%,93.15%,70.56%,82.69%
RJN,99.89%,92.92%,93.03%,92.86%,84.02%,96.25%,92.56%,94.91%
RVV,98.56%,86.45%,86.70%,86.38%,87.91%,97.05%,88.90%,90.25%
RXR,94.07%,87.46%,81.84%,94.71%,85.71%,93.48%,82.32%,82.81%
RWK,100.00%,87.09%,79.79%,97.04%,83.93%,97.46%,82.42%,88.42%
RXC,99.29%,97.32%,96.89%,97.94%,82.35%,95.10%,71.97%,85.16%
RVR,98.39%,86.11%,87.97%,85.75%,68.33%,90.40%,70.83%,75.48%
RDU,99.06%,81.99%,76.07%,86.58%,77.27%,90.38%,69.15%,69.15%
RR7,99.97%,93.69%,91.79%,94.25%,85.01%,97.06%,78.06%,86.45%
RLT,95.68%,91.52%,86.69%,92.78%,78.64%,88.84%,68.46%,80.21%
RTE,95.70%,89.87%,76.09%,100.00%,74.07%,94.80%, -,76.18%
RP4,98.44%,92.41%,91.73%,92.54%,93.44%,96.31%, -,93.62%
RN3,99.73%,88.72%,90.97%,86.26%,92.86%,97.61%,84.22%,93.97%
RXV,97.41%,79.86%,92.03%,75.64%,89.20%,96.12%,97.54%,89.46%
RJ1,100.00%,92.69%,94.93%,89.80%,80.00%,95.96%,88.35%,88.59%
RN5,99.66%,95.91%,92.69%,97.70%,88.44%,95.87%,90.18%,93.18%
RCD,94.87%,74.52%,87.92%,60.79%,64.44%,72.86%,60.73%,82.52%
RR1,98.21%,93.77%,88.82%,95.70%,69.42%,89.13%,58.35%,68.21%
RY4,94.29%,93.79%,95.68%,92.42%,87.50%,81.82%,87.34%,91.91%
RWR,97.03%,90.43%,85.67%,95.96%,92.20%,87.97%, -,77.24%
RQQ,99.18%,95.03%,89.35%,97.78%,86.15%,92.33%,76.04%,76.85%
RQX,99.68%,92.05%,97.13%,90.94%,85.78%,96.47%,88.75%,90.39%
RY9,99.70%,82.80%,83.66%,81.78%,86.67%,95.18%,76.22%,86.64%
RWA,98.54%,91.48%,83.39%,93.06%,82.94%,90.43%,66.00%,76.44%
