ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RV9,99.67%,88.61%,79.88%,100.00%,84.77%,93.98%, -,90.21%
RYJ,100.00%,96.08%,95.41%,96.88%,79.82%,95.56%,83.18%,77.85%
RGQ,96.50%,82.52%,83.96%,82.20%,76.86%,86.77%,63.70%,72.87%
R1F,99.10%,76.86%,75.82%,77.28%,77.56%,95.58%,66.61%,72.70%
RGP,99.50%,83.81%,76.35%,87.65%,71.65%,91.05%,68.64%,77.43%
RXY,99.58%,84.96%,87.51%,82.91%,89.71%,96.05%, -,71.86%
RYY,100.00%,93.48%,86.68%,100.00%,79.49%,94.51%,81.94%,82.51%
RNQ,97.65%,82.19%,77.27%,83.11%,68.55%,84.92%,63.90%,73.47%
RJZ,98.60%,88.68%,91.26%,87.50%,68.09%,92.29%,72.08%,74.55%
RAX,95.14%,83.18%,91.53%,82.08%,79.55%,87.94%,70.71%,75.03%
RW5,97.95%,90.65%,95.31%,84.20%,87.10%,94.88%,76.29%,88.03%
RXN,99.91%,88.33%,80.18%,89.78%,81.21%,97.88%,78.78%,86.80%
RGD,99.48%,89.32%,79.34%,96.33%,88.38%,98.28%, -,93.84%
RY6,95.14%,89.21%,82.99%,100.00%,95.65%,92.35%,98.16%,91.27%
RR8,99.15%,94.31%,92.54%,95.45%,84.94%,92.17%,79.50%,81.41%
RT5,97.24%,86.73%,82.18%,91.09%,80.28%,88.69%,65.71%,80.41%
RY5,95.59%,87.83%,84.88%,90.70%,69.44%,70.92%,56.91%,74.13%
RP7,99.59%,84.60%,80.87%,88.53%,77.50%,92.61%, -,81.98%
RY1,100.00%,94.04%,94.25%,93.77%,95.16%,97.22%,84.93%,92.96%
RBQ,98.75%,98.53%,99.14%,98.25%,89.32%,96.86%,80.16%,83.99%
REP,99.89%,88.87%,80.66%,94.79%,77.84%,94.75%,72.71%,74.90%
R1K,88.49%,90.59%,94.14%,87.88%,84.39%,89.01%,80.83%,85.72%
RC9,95.83%,84.96%,91.89%,83.52%,73.06%,93.41%,79.90%,82.00%
RWF,99.76%,93.99%,93.19%,94.29%,87.45%,97.28%,92.85%,95.02%
RPA,94.68%,81.45%,83.62%,81.15%,72.09%,85.52%,60.59%,67.63%
RW4,99.07%,92.33%,90.08%,95.87%,90.48%,96.67%, -,96.04%
RQ8,99.06%,91.75%,90.88%,92.39%,79.73%,88.38%,80.31%,76.86%
RXF,98.83%,79.82%,70.92%,89.20%,50.96%,92.66%,71.29%,75.99%
RD8,97.01%,81.09%,89.30%,78.16%,81.96%,91.92%,80.47%,85.49%
RP6,100.00%, -, -, -,95.26%,95.56%,84.23%,85.26%
RM1,98.46%,86.18%,82.99%,86.74%,86.50%,94.86%,88.92%,86.51%
RMY,99.52%,96.58%,92.96%,98.89%,90.38%,99.24%, -,97.40%
RY3,99.76%,93.61%,94.77%,92.67%,85.90%,95.56%,91.90%,96.77%
RVJ,95.44%,90.04%,78.36%,91.46%,86.27%,93.87%,78.65%,88.71%
RNL,96.19%,83.90%,77.62%,85.74%,81.67%,90.69%,81.65%,82.08%
RAT,99.63%,94.80%,92.17%,97.69%,68.48%,85.71%,63.66%,74.43%
RRD,99.41%,86.67%,84.82%,88.92%,90.82%,88.11%,70.29%,77.99%
RAP,96.43%,84.93%,90.43%,82.96%,81.68%,94.04%,85.64%,85.65%
RLY,99.52%,97.67%,93.27%,100.00%,96.39%,98.46%,93.63%,96.44%
RVW,99.34%,88.93%,93.84%,86.51%,94.20%,96.89%,83.42%,81.45%
RNS,99.94%,89.28%,90.24%,89.03%,88.89%,99.24%,83.32%,95.79%
RP1,100.00%,96.14%,91.72%,100.00%,91.67%,94.64%, -,81.23%
RBZ,99.22%,94.05%,83.32%,98.44%,76.92%,96.43%,85.55%,91.77%
RJL,99.28%,76.42%,85.11%,74.46%,77.17%,94.27%,63.78%,70.71%
RX4,100.00%,86.52%,87.42%,85.14%,82.58%,94.40%,63.82%,72.49%
RTF,99.91%,98.99%,98.54%,99.20%,95.48%,99.44%,96.36%,96.81%
RX1,94.00%,85.83%,90.02%,85.40%,76.50%,90.10%,66.71%,75.29%
RHA,98.38%,93.44%,89.56%,98.79%,99.02%,98.44%, -,97.85%
RNU,99.92%,97.35%,94.65%,100.00%,92.71%,96.68%,94.65%,93.00%
RTH,96.62%,73.17%,89.21%,69.84%,69.33%,90.97%,74.12%,74.92%
RPG,100.00%,87.73%,93.25%,81.76%,85.29%,95.42%,79.12%,90.09%
RGM,98.71%,94.56%,94.28%,94.72%,72.21%,94.93%,75.32%,78.40%
RW6,91.81%,91.35%,84.62%,98.24%,92.00%,80.56%,83.46%,86.27%
RT2,96.38%,80.81%,76.88%,91.75%,68.06%,85.62%,79.83%,81.13%
RGN,98.64%,95.77%,96.32%,95.67%,93.24%,97.72%,86.63%,93.07%
RK9,98.08%,92.86%,86.83%,93.26%,84.84%,89.78%,80.25%,85.46%
RD3,99.35%,93.16%,91.30%,93.47%,82.96%,95.53%,77.97%,83.28%
RHU,98.07%,92.79%,89.40%,93.39%,85.92%,96.05%,77.22%,84.70%
RPC,99.67%,89.19%,82.88%,96.26%,71.79%,89.96%,72.03%,69.29%
RL1,99.50%,95.44%,95.74%,95.26%,80.83%,91.08%,77.41%,78.80%
RXE,99.67%,94.27%,89.34%,100.00%,100.00%,96.15%,81.83%,87.33%
RHW,99.52%,97.61%,98.76%,97.26%,93.99%,95.37%,87.10%,90.88%
RT3,99.78%,96.07%,97.08%,95.71%,92.51%,95.62%,85.98%,86.66%
REF,98.66%,85.90%,77.18%,87.86%,79.69%,92.52%,75.09%,79.07%
RH8,97.55%,90.35%,85.67%,94.83%,75.58%,95.60%,70.40%,83.87%
RAL,99.79%,92.58%,88.65%,95.43%,76.25%,91.67%,68.34%,68.36%
RQ6,99.85%,94.68%,92.03%,95.25%,83.27%,98.43%,81.00%,91.73%
RAN,96.95%,89.59%,98.38%,85.44%,83.06%,85.19%,54.62%,66.74%
RRJ,96.94%,87.69%,90.32%,86.51%,78.77%,95.11%,84.14%,86.58%
RA2,99.37%,92.72%,93.35%,92.51%,87.06%,96.77%,87.63%,91.80%
RD1,98.61%,93.92%,88.51%,95.06%,82.68%,89.29%,70.94%,78.79%
RM3,96.51%,92.71%,93.08%,92.61%,83.17%,90.61%,79.66%,85.59%
RNZ,99.49%,96.90%,99.33%,96.20%,85.55%,95.34%,80.68%,81.84%
RXK,98.21%,92.57%,88.09%,98.34%,95.45%,96.35%,92.89%,93.89%
RCU,99.89%,94.28%,94.39%,94.24%,79.00%,98.71%, -,96.80%
RHQ,99.52%,95.44%,97.57%,94.58%,78.13%,91.00%,68.92%,67.65%
RK5,100.00%,97.35%,94.23%,100.00%,89.45%,94.14%,72.04%,77.15%
RXW,99.77%,90.48%,86.29%,95.95%,81.03%,92.80%, -,81.97%
R1D,99.36%,87.80%,77.53%,100.00%,81.89%,97.40%,89.41%,92.10%
R1C,100.00%,96.70%,98.70%,94.79%,91.07%,96.43%,89.59%,95.43%
RH5,100.00%,88.51%,90.49%,87.08%,96.23%,100.00%,92.16%,94.25%
RWN,99.81%,92.09%,88.07%,95.32%,90.48%,94.33%,90.51%,88.04%
RV5,99.03%,91.07%,96.10%,85.24%,89.29%,99.03%,98.39%,97.28%
RRE,99.25%,93.15%,88.39%,98.17%,99.10%,99.33%,97.32%,97.81%
RTR,99.07%,91.30%,94.44%,90.60%,86.95%,96.44%,86.30%,85.41%
RE9,99.42%,94.42%,90.29%,97.88%,85.19%,96.75%,82.59%,91.14%
RJC,99.75%,94.77%,90.81%,98.19%,86.67%,97.68%,88.73%,94.89%
RQY,99.28%, -, -, -,81.13%,91.05%, -,85.29%
RXG,100.00%,93.14%,89.88%,96.92%,91.00%,97.09%,93.03%,90.58%
RAJ,98.41%,91.01%,94.32%,90.69%,75.18%,90.28%,70.23%,81.18%
RW1,99.63%,95.11%,92.98%,96.44%,91.34%,97.54%,85.67%,95.93%
RVY,99.60%,83.29%,73.70%,88.24%,81.14%,90.35%,53.72%,63.26%
RJ7,100.00%,89.18%,84.02%,93.39%,92.38%,98.40%,94.25%,95.89%
RBN,100.00%,97.14%,94.23%,100.00%,97.11%,99.85%,96.42%,99.86%
R1E,100.00%,91.72%,86.14%,97.12%,91.90%,96.73%,92.99%,92.29%
RWJ,100.00%,87.09%,79.79%,97.04%,83.93%,97.46%,82.42%,88.42%
RXX,100.00%,94.80%,92.79%,97.58%,100.00%,100.00%, -,100.00%
RTP,99.89%,90.32%,85.67%,91.27%,84.32%,94.97%,71.11%,79.14%
RDR,97.51%,86.39%,79.15%,92.91%,73.55%,95.43%,70.01%,82.60%
RX2,99.58%,82.47%,82.97%,81.79%,91.67%,97.10%, -,88.08%
RMP,100.00%,92.96%,92.55%,93.55%,91.30%,96.53%,86.83%,88.18%
RBA,99.89%,96.26%,91.84%,97.50%,92.03%,93.21%,86.24%,88.69%
RX3,95.26%, -, -, -,81.94%,90.00%, -,62.00%
RBV,99.88%,94.78%,93.52%,95.31%,82.52%,97.41%,88.94%,89.46%
RNA,98.09%,88.76%,87.04%,89.21%,88.89%,93.35%,77.60%,83.99%
RAS,99.52%,98.43%,99.19%,97.90%,78.47%,85.77%,53.40%,62.65%
RJ2,96.17%,82.03%,86.47%,80.81%,72.33%,90.75%,74.27%,80.60%
RBT,99.27%,93.56%,87.55%,100.00%,94.44%,94.90%,88.64%,95.49%
RTD,99.49%,91.60%,87.67%,95.91%,85.42%,95.40%,85.04%,92.37%
RQW,99.32%,80.87%,86.83%,79.37%,83.30%,93.86%,72.29%,74.11%
RCX,99.79%,90.46%,86.46%,91.75%,83.25%,94.54%,77.52%,82.13%
RFR,98.52%,92.69%,86.78%,98.36%,90.91%,90.48%,88.35%,84.02%
RDZ,98.95%,83.37%,95.13%,81.79%,87.84%,97.44%,87.90%,94.16%
RPY,98.75%,98.12%,96.01%,98.85%,91.32%,94.59%,57.46%,77.63%
RL4,99.16%,93.50%,91.91%,97.09%,84.70%,95.36%,78.08%,88.42%
RKE,97.11%,90.88%,94.23%,89.70%,87.99%,93.28%,86.83%,79.70%
RA9,99.73%,95.36%,95.06%,95.66%,89.52%,92.61%,81.86%,86.55%
RWD,88.43%,92.97%,90.35%,93.97%,77.95%,83.20%,58.58%,67.95%
RRV,97.75%,75.09%,92.35%,56.12%,83.43%,84.71%, -,63.42%
RRK,99.30%,93.10%,88.07%,94.04%,92.02%,99.20%,85.12%,89.32%
RJE,99.55%,92.15%,92.23%,92.11%,90.00%,99.82%,96.66%,98.33%
RM2,100.00%,96.95%,95.51%,98.56%,97.83%,98.24%, -,96.55%
RHM,99.10%,79.07%,91.91%,74.07%,81.54%,92.41%,71.87%,67.27%
RA7,99.64%,96.89%,96.76%,96.99%,97.30%,98.25%,96.27%,95.04%
RKB,97.40%,89.69%,85.62%,93.41%,72.62%,94.46%,55.68%,70.85%
RWE,98.20%,93.47%,94.18%,93.34%,79.48%,86.48%,72.70%,84.29%
RTX,98.78%,89.95%,81.09%,95.32%,91.38%,88.41%,83.73%,89.16%
RBK,99.24%,82.08%,89.55%,80.46%,88.24%,96.28%,71.80%,79.83%
RET,99.89%,97.67%,99.19%,96.68%,96.99%,99.05%,97.63%,99.18%
RWW,99.97%,89.29%,86.09%,90.43%,84.08%,94.60%,67.05%,75.03%
RWG,99.22%,89.86%,84.62%,93.91%,73.91%,80.23%,51.07%,64.04%
RKL,97.96%,79.29%,88.69%,73.01%,90.69%,90.98%,80.10%,77.13%
RGR,99.73%,93.99%,88.61%,95.22%,83.96%,96.14%,78.39%,84.07%
RYR,99.36%,87.44%,88.29%,87.11%,85.28%,97.55%,89.75%,91.38%
RA3,98.84%,94.03%,85.00%,99.05%,82.40%,94.98%,85.76%,85.93%
RBL,100.00%,66.11%,66.12%,66.10%,79.13%,98.33%,72.04%,84.61%
RWP,97.88%,77.29%,78.88%,76.62%,76.61%,94.76%,64.73%,76.71%
R1A,99.93%,87.55%,92.13%,82.12%,92.78%,78.89%,72.92%,86.80%
RRF,100.00%,96.42%,94.08%,97.99%,96.27%,99.81%,97.22%,99.42%
RLQ,95.93%,79.61%,90.97%,61.43%,88.71%,88.41%,73.13%,79.31%
RA4,99.21%,86.03%,88.04%,85.21%,82.11%,91.06%,76.58%,82.27%
RCB,98.93%,87.42%,80.12%,94.66%,72.44%,94.07%,69.65%,76.10%
