ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RP5,95.05%,87.93%,,,78.29%,93.37%,,
RBD,98.52%,89.66%,,,92.07%,96.48%,,
RDY,97.17%,87.57%,,,87.27%,92.99%,,
RYK,99.67%,87.97%,,,85.95%,92.26%,,
RWH,98.54%,79.93%,,,83.34%,89.64%,,
RJN,99.82%,94.34%,,,94.06%,97.71%,,
RVV,94.51%,91.14%,,,82.46%,90.32%,,
RXR,91.68%,85.74%,,,87.37%,87.16%,,
RWK,99.81%,92.81%,,,91.97%,97.06%,,
RXC,96.42%,91.08%,,,84.26%,90.35%,,
RVR,98.70%,91.77%,,,85.31%,91.23%,,
RDU,99.88%,88.82%,,,88.57%,96.91%,,
RR7,99.64%,89.14%,,,90.79%,94.33%,,
RLT,98.86%,87.46%,,,81.05%,91.01%,,
RTE,96.20%,84.43%,,,84.76%,88.04%,,
RP4,96.80%,92.82%,,,94.15%,93.73%,,
RN3,96.25%,87.20%,,,86.10%,91.85%,,
RXV,99.96%,94.45%,,,95.18%,98.10%,,
RJ1,99.38%,90.86%,,,92.80%,95.23%,,
RN5,94.35%,77.46%,,,82.42%,88.26%,,
RCD,99.42%,94.64%,,,85.12%,96.13%,,
RR1,95.06%,87.99%,,,80.54%,88.04%,,
RY4,95.28%,84.14%,,,76.29%,82.28%,,
RWR,98.44%,90.65%,,,87.64%,93.51%,,
RQQ,98.55%,93.34%,,,96.24%,92.36%,,
RQX,98.95%,82.20%,,,81.48%,89.16%,,
RY9,97.66%,92.66%,,,93.03%,97.67%,,
RWA,96.74%,88.05%,,,86.11%,83.11%,,
RV9,99.21%,93.04%,,,86.24%,86.76%,,
RYJ,98.19%,88.18%,,,77.75%,87.26%,,
RGQ,95.73%,78.05%,,,85.53%,86.05%,,
R1F,96.22%,77.81%,,,89.38%,91.24%,,
RGP,98.56%,87.43%,,,80.97%,93.66%,,
RXY,89.73%,81.75%,,,84.10%,82.19%,,
RYY,93.09%,90.48%,,,73.56%,82.70%,,
RNQ,95.50%,85.32%,,,75.34%,90.48%,,
RJZ,91.03%,88.12%,,,80.13%,80.35%,,
RAX,96.26%,71.92%,,,87.78%,90.03%,,
RW5,98.14%,94.52%,,,93.39%,93.70%,,
RXN,99.92%,91.26%,,,92.21%,97.29%,,
RGD,97.45%,93.07%,,,91.42%,94.16%,,
RY6,85.08%,88.91%,,,82.38%,89.08%,,
RR8,99.26%,88.31%,,,87.06%,91.96%,,
RT5,98.61%,87.98%,,,81.77%,88.27%,,
RY5,92.54%,91.75%,,,78.69%,84.30%,,
RP7,99.25%,87.47%,,,88.13%,92.92%,,
RY1,99.75%,97.42%,,,96.31%,97.57%,,
RBQ,99.04%,92.16%,,,89.09%,95.19%,,
REP,99.86%,89.28%,,,88.35%,96.48%,,
R1K,99.23%,91.21%,,,89.91%,97.01%,,
RC9,98.09%,87.77%,,,85.74%,85.23%,,
RWF,99.27%,79.61%,,,78.12%,93.94%,,
RPA,97.66%,75.50%,,,81.76%,87.16%,,
RW4,96.38%,86.21%,,,93.44%,87.17%,,
RQ8,93.13%,87.03%,,,80.65%,83.80%,,
RXF,97.05%,88.44%,,,88.12%,89.28%,,
RD8,97.61%,80.13%,,,86.30%,85.70%,,
RP6,99.62%,0.00%,,,88.31%,99.10%,,
RM1,98.30%,89.60%,,,90.48%,93.51%,,
RMY,99.63%,91.57%,,,89.22%,97.56%,,
RY3,96.77%,93.88%,,,80.46%,83.10%,,
RVJ,99.21%,93.04%,,,86.24%,86.76%,,
RNL,91.09%,83.84%,,,78.39%,76.71%,,
RAT,98.01%,92.48%,,,84.71%,86.83%,,
RRD,98.42%,86.20%,,,78.56%,92.27%,,
RAP,93.63%,82.93%,,,83.82%,89.01%,,
RLY,98.99%,97.12%,,,91.86%,94.61%,,
RVW,98.40%,84.49%,,,86.90%,93.46%,,
RNS,99.39%,88.60%,,,90.33%,98.71%,,
RP1,98.59%,92.65%,,,86.81%,94.32%,,
RBZ,95.15%,83.12%,,,84.47%,90.69%,,
RJL,95.83%,78.47%,,,85.94%,89.18%,,
RX4,99.44%,89.76%,,,92.49%,92.64%,,
RTF,98.97%,92.37%,,,91.45%,95.85%,,
RX1,92.68%,85.82%,,,81.94%,86.36%,,
RHA,97.50%,92.00%,,,92.06%,94.93%,,
RNU,97.23%,89.55%,,,90.29%,97.58%,,
RTH,90.79%,89.06%,,,86.57%,89.05%,,
RPG,97.80%,86.65%,,,84.75%,92.23%,,
RGM,98.27%,83.37%,,,92.02%,96.35%,,
RW6,97.47%,88.85%,,,83.93%,91.17%,,
RT2,99.17%,91.31%,,,88.53%,92.07%,,
RGN,98.58%,94.63%,,,93.31%,96.00%,,
RK9,95.93%,89.74%,,,81.17%,84.51%,,
RD3,99.31%,92.74%,,,94.19%,94.09%,,
RHU,99.20%,86.99%,,,92.37%,96.05%,,
RPC,98.45%,83.77%,,,82.66%,89.85%,,
RL1,98.88%,90.68%,,,91.18%,83.78%,,
RXE,87.52%,74.32%,,,87.77%,88.95%,,
RHW,98.37%,83.34%,,,86.99%,96.71%,,
RT3,98.02%,95.33%,,,91.65%,92.58%,,
REF,98.90%,89.08%,,,87.30%,95.73%,,
RH8,96.35%,94.17%,,,87.03%,91.33%,,
RAL,97.92%,92.43%,,,92.48%,88.43%,,
RQ6,99.57%,92.56%,,,93.15%,95.84%,,
RAN,95.84%,87.41%,,,86.28%,87.60%,,
RRJ,95.49%,83.14%,,,80.28%,93.66%,,
RA2,90.81%,89.48%,,,83.20%,83.37%,,
RD1,95.97%,91.86%,,,88.96%,87.59%,,
RM3,99.46%,93.12%,,,94.20%,98.12%,,
RNZ,95.39%,83.13%,,,87.83%,92.77%,,
RXK,99.88%,97.53%,,,94.23%,98.10%,,
RCU,99.80%,90.33%,,,81.47%,94.95%,,
RHQ,99.27%,91.09%,,,93.15%,91.33%,,
RK5,99.16%,97.00%,,,89.32%,95.85%,,
RXW,98.76%,86.25%,,,78.89%,92.23%,,
R1D,99.06%,92.82%,,,85.48%,93.53%,,
R1C,96.58%,93.38%,,,94.04%,96.43%,,
RH5,99.79%,91.19%,,,91.67%,98.14%,,
RWN,99.52%,86.01%,,,87.62%,96.05%,,
RV5,91.82%,91.83%,,,93.38%,95.71%,,
RRE,98.45%,96.08%,,,92.06%,95.92%,,
RTR,98.61%,90.52%,,,88.41%,95.69%,,
RE9,97.88%,91.85%,,,90.32%,92.69%,,
RJC,97.29%,83.84%,,,86.20%,91.61%,,
RQY,98.41%,91.80%,,,87.72%,88.31%,,
RXG,99.98%,97.26%,,,90.48%,99.49%,,
RAJ,83.43%,87.25%,,,77.15%,76.03%,,
RW1,94.54%,88.66%,,,86.59%,86.79%,,
RVY,98.66%,83.31%,,,87.74%,88.63%,,
RJ7,95.82%,87.11%,,,87.09%,92.26%,,
RBN,99.99%,93.69%,,,98.04%,99.33%,,
R1E,98.49%,91.64%,,,92.94%,93.91%,,
RWJ,96.84%,90.55%,,,86.03%,91.75%,,
RXX,94.59%,90.42%,,,92.12%,92.12%,,
RTP,100.00%,85.21%,,,85.30%,97.01%,,
RDR,99.02%,96.83%,,,90.21%,89.89%,,
RX2,96.88%,89.69%,,,85.62%,89.61%,,
RMP,91.90%,88.87%,,,82.78%,86.96%,,
RBA,98.99%,90.53%,,,91.75%,92.11%,,
RX3,98.68%,93.47%,,,91.05%,91.23%,,
RBV,98.69%,95.31%,,,93.92%,95.99%,,
RNA,99.69%,84.28%,,,90.96%,97.04%,,
RAS,90.80%,87.79%,,,88.80%,81.51%,,
RJ2,92.77%,78.96%,,,86.09%,90.63%,,
RBT,93.31%,84.73%,,,88.06%,87.84%,,
RTD,99.87%,92.09%,,,93.55%,94.22%,,
RQW,98.56%,84.01%,,,87.05%,92.40%,,
RCX,98.40%,88.89%,,,83.72%,92.94%,,
RFR,94.84%,83.28%,,,82.71%,91.08%,,
RDZ,97.54%,80.08%,,,88.90%,94.22%,,
RPY,99.64%,97.27%,,,95.54%,96.35%,,
RL4,99.29%,89.99%,,,87.09%,96.29%,,
RKE,97.57%,92.45%,,,85.69%,91.41%,,
RA9,97.91%,92.87%,,,85.83%,90.68%,,
RWD,90.05%,90.92%,,,87.95%,88.13%,,
RRV,97.64%,88.13%,,,85.37%,94.36%,,
RRK,98.77%,90.51%,,,97.77%,97.92%,,
RJE,99.17%,85.35%,,,91.51%,96.84%,,
RM2,97.11%,80.88%,,,92.09%,94.40%,,
RHM,98.95%,92.27%,,,91.91%,94.88%,,
RA7,98.86%,91.60%,,,94.11%,92.58%,,
RKB,98.29%,87.95%,,,97.12%,93.35%,,
RWE,98.33%,84.35%,,,84.45%,86.25%,,
RTX,96.60%,91.84%,,,93.79%,90.42%,,
RBK,97.79%,91.58%,,,84.66%,92.71%,,
RET,99.84%,98.49%,,,93.89%,97.88%,,
RWW,99.36%,88.23%,,,90.29%,95.30%,,
RWG,95.81%,91.13%,,,71.59%,84.99%,,
RKL,88.20%,82.57%,,,88.24%,80.62%,,
RGR,99.76%,89.15%,,,81.88%,94.30%,,
RYR,99.90%,94.83%,,,89.45%,97.71%,,
RA3,99.10%,93.52%,,,86.74%,96.06%,,
RBL,99.89%,94.46%,,,93.96%,95.81%,,
RWP,96.14%,83.42%,,,88.91%,90.56%,,
R1A,99.73%,95.90%,,,85.62%,89.44%,,
RRF,100.00%,95.95%,,,94.22%,99.40%,,
RLQ,94.83%,82.41%,,,84.48%,90.76%,,
RA4,93.16%,80.81%,,,83.73%,85.23%,,
RCB,99.54%,80.18%,,,82.85%,93.83%,,
