ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RTQ,98.93%,95.07%,,,96.50%,97.46%,,
RTV,99.67%,95.76%,,,93.40%,89.64%,,
REM,99.44%,90.93%,,,97.97%,97.67%,,
RCF,98.74%,89.02%,,,84.58%,93.52%,,
RBS,84.19%,83.56%,,,85.63%,80.82%,,
RTK,99.65%,94.94%,,,86.84%,86.18%,,
RVN,99.41%,89.21%,,,89.03%,94.65%,,
RF4,94.70%,87.74%,,,73.85%,87.70%,,
RRP,99.64%,92.15%,,,93.85%,94.52%,,
RFF,97.95%,92.08%,,,90.09%,96.26%,,
R1H,99.82%,87.58%,,,91.79%,97.00%,,
RDD,99.04%,90.60%,,,89.21%,96.88%,,
RC1,98.68%,90.11%,,,83.95%,92.47%,,
RWX,99.09%,94.85%,,,92.13%,97.11%,,
RXT,99.67%,96.09%,,,91.82%,97.74%,,
RQ3,99.61%,87.95%,,,97.45%,97.05%,,
RYW,92.64%,90.27%,,,81.64%,81.72%,,
RLU,99.88%,90.28%,,,89.32%,98.42%,,
RXL,97.15%,89.90%,,,90.23%,94.07%,,
RMC,99.37%,84.17%,,,87.55%,96.99%,,
RAE,96.35%,80.01%,,,80.22%,88.09%,,
RY2,99.38%,81.00%,,,81.76%,91.67%,,
RXH,96.84%,96.98%,,,84.86%,86.16%,,
RXQ,93.04%,85.50%,,,80.05%,88.63%,,
RJF,96.43%,84.79%,,,85.71%,87.29%,,
RWY,98.54%,83.41%,,,93.07%,91.61%,,
RJX,85.80%,91.14%,,,93.35%,79.92%,,
RGT,97.06%,85.64%,,,90.26%,92.55%,,
RT1,97.80%,81.42%,,,89.49%,88.64%,,
RYV,94.34%,83.88%,,,80.58%,78.41%,,
RV3,98.74%,84.85%,,,91.85%,91.67%,,
RYX,97.86%,93.03%,,,87.31%,86.78%,,
RW3,97.48%,89.08%,,,90.35%,94.83%,,
RQM,98.96%,93.38%,,,95.43%,93.28%,,
RXA,93.57%,84.16%,,,87.38%,94.64%,,
RFS,91.37%,82.52%,,,82.04%,87.39%,,
RLN,99.61%,96.50%,,,94.32%,96.69%,,
REN,99.88%,96.67%,,,93.18%,100.00%,,
RDE,99.15%,90.84%,,,94.23%,95.79%,,
RJ8,85.77%,74.57%,,,94.61%,91.10%,,
RJR,99.57%,93.78%,,,90.35%,94.15%,,
RXP,99.09%,93.69%,,,90.86%,94.87%,,
RYG,99.69%,91.25%,,,91.99%,96.47%,,
RJ6,97.34%,87.27%,,,82.55%,84.90%,,
RNN,98.06%,91.41%,,,84.06%,91.83%,,
RN7,98.56%,90.97%,,,85.28%,93.48%,,
RTG,99.96%,87.22%,,,95.62%,98.24%,,
RY8,99.57%,94.95%,,,89.10%,96.53%,,
RXM,98.75%,93.05%,,,89.61%,95.90%,,
RWV,99.49%,87.04%,,,91.66%,94.06%,,
