ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RAX,95.01%,93.68%,,,90.52%,90.28%,47.89%,
RW5,98.11%,89.07%,,,88.13%,86.34%,81.30%,
RXN,99.94%,92.67%,,,90.26%,97.42%,68.48%,
RGD,97.32%,85.57%,,,91.17%,92.92%,83.25%,
RY6,99.56%,93.65%,,,94.30%,94.70%,96.40%,
RR8,99.31%,93.50%,,,88.35%,93.98%,76.38%,
RT5,97.42%,83.16%,,,84.47%,80.87%,71.01%,
RY5,93.40%,80.57%,,,79.55%,75.64%,67.68%,
RP7,98.37%,84.14%,,,87.85%,89.80%,92.59%,
RY1,98.20%,95.73%,,,91.62%,92.29%,88.18%,
RBQ,98.41%,98.60%,,,87.63%,96.43%,87.32%,
REP,99.94%,92.55%,,,82.19%,93.31%,77.42%,
R1K,93.58%,80.58%,,,66.41%,81.25%,61.00%,
RC9,96.99%,80.83%,,,83.59%,79.98%,63.04%,
RWF,98.98%,91.51%,,,91.01%,92.35%,89.10%,
RPA,97.85%,85.28%,,,79.56%,81.90%,69.81%,
RW4,95.06%,83.61%,,,88.68%,81.70%,69.80%,
RQ8,90.64%,86.35%,,,79.39%,79.50%,54.27%,
RXF,98.67%,86.08%,,,82.04%,86.87%,64.10%,
RD8,97.53%,84.52%,,,87.60%,93.70%,77.35%,
RP6,98.65%,0.00%,,,92.42%,96.10%,90.87%,
RM1,97.33%,89.97%,,,92.83%,90.64%,83.62%,
RMY,99.38%,92.84%,,,91.76%,97.31%,95.52%,
RY3,99.50%,95.23%,,,85.39%,91.03%,78.60%,
RVJ,93.06%,83.35%,,,83.40%,93.27%,73.49%,
RNL,92.00%,84.44%,,,80.42%,77.32%,72.32%,
RAT,99.52%,95.42%,,,85.95%,87.61%,82.90%,
RRD,98.99%,86.37%,,,79.41%,88.46%,85.86%,
RAP,95.30%,86.51%,,,79.92%,91.06%,76.80%,
RLY,99.67%,96.10%,,,96.41%,95.67%,90.59%,
RVW,98.04%,96.70%,,,87.42%,96.48%,88.34%,
RNS,99.78%,90.30%,,,92.73%,93.62%,79.79%,
RP1,99.43%,92.43%,,,90.50%,95.56%,92.83%,
RBZ,97.52%,85.43%,,,82.07%,90.48%,75.40%,
RJL,95.57%,86.09%,,,87.25%,85.40%,49.95%,
RX4,99.29%,88.78%,,,92.39%,91.28%,85.12%,
RTF,99.73%,97.07%,,,95.35%,96.43%,95.40%,
RX1,94.56%,89.28%,,,75.89%,84.09%,63.52%,
RHA,98.01%,90.94%,,,91.51%,94.12%,83.94%,
RNU,99.75%,89.76%,,,86.39%,95.96%,91.09%,
RTH,92.24%,80.46%,,,76.95%,81.42%,58.34%,
RPG,96.16%,91.89%,,,92.17%,93.76%,74.57%,
RGM,98.96%,86.19%,,,77.23%,87.47%,74.84%,
RW6,98.89%,87.85%,,,90.33%,90.24%,76.14%,
RT2,98.88%,90.14%,,,90.27%,92.20%,83.49%,
RGN,96.90%,83.34%,,,91.54%,92.72%,78.03%,
RK9,97.55%,88.04%,,,84.77%,80.29%,69.53%,
RD3,99.32%,95.13%,,,90.57%,93.07%,86.31%,
RHU,97.82%,92.15%,,,90.08%,94.32%,81.78%,
RPC,99.20%,80.56%,,,82.41%,87.38%,64.28%,
RL1,99.38%,84.20%,,,83.61%,80.17%,68.51%,
RXE,94.70%,87.63%,,,92.29%,91.37%,76.13%,
RHW,99.38%,94.71%,,,91.47%,97.54%,89.32%,
RT3,96.66%,89.65%,,,87.28%,86.10%,65.43%,
REF,96.31%,83.12%,,,80.63%,79.56%,70.09%,
RH8,97.50%,88.06%,,,89.60%,90.78%,82.97%,
RAL,99.22%,85.58%,,,84.21%,89.05%,75.92%,
RQ6,99.62%,93.27%,,,88.21%,97.87%,83.32%,
RAN,96.57%,83.90%,,,81.20%,82.72%,61.29%,
RRJ,97.48%,95.57%,,,84.50%,95.90%,92.00%,
RA2,99.72%,92.24%,,,86.97%,95.15%,92.04%,
RD1,97.50%,94.03%,,,82.46%,80.30%,52.88%,
RM3,99.48%,91.02%,,,92.56%,98.28%,85.86%,
RNZ,99.30%,94.57%,,,89.47%,95.31%,84.66%,
RXK,98.39%,93.19%,,,91.96%,97.87%,90.90%,
RCU,99.31%,84.87%,,,83.33%,97.65%,0.00%,
RHQ,99.00%,88.91%,,,86.97%,85.88%,58.30%,
RK5,99.80%,91.16%,,,88.78%,96.06%,72.92%,
RXW,98.87%,87.82%,,,76.15%,81.03%,50.94%,
R1D,99.81%,87.84%,,,86.91%,94.60%,83.27%,
R1C,97.79%,98.24%,,,91.53%,93.99%,91.69%,
RH5,99.89%,90.82%,,,92.70%,96.72%,94.30%,
RWN,99.74%,89.14%,,,92.84%,95.88%,93.42%,
RV5,99.50%,90.58%,,,94.49%,96.23%,98.38%,
RRE,96.98%,92.88%,,,94.57%,95.26%,90.20%,
RTR,98.59%,85.23%,,,83.07%,93.19%,72.69%,
RE9,95.11%,88.74%,,,83.53%,86.68%,73.15%,
RJC,98.05%,82.53%,,,79.95%,88.62%,74.92%,
RQY,97.45%,86.52%,,,92.30%,88.23%,82.83%,
RXG,100.00%,98.05%,,,94.89%,99.83%,98.28%,
RAJ,90.66%,82.87%,,,87.59%,77.19%,72.27%,
RW1,96.22%,83.39%,,,89.02%,87.83%,85.23%,
RVY,99.53%,85.45%,,,87.27%,95.21%,67.70%,
RJ7,96.43%,82.10%,,,83.47%,89.56%,72.78%,
RBN,100.00%,95.52%,,,98.24%,97.78%,88.44%,
R1E,99.53%,88.89%,,,91.90%,95.71%,80.97%,
RWJ,94.13%,92.35%,,,83.55%,82.68%,61.95%,
RXX,99.84%,92.15%,,,93.48%,96.05%,93.79%,
RTP,97.98%,85.56%,,,79.27%,86.67%,56.18%,
RDR,99.26%,96.58%,,,85.94%,89.00%,69.12%,
RX2,98.32%,91.13%,,,87.89%,90.89%,81.73%,
RMP,95.71%,84.17%,,,86.29%,89.84%,70.46%,
RBA,95.39%,90.48%,,,81.66%,87.10%,68.90%,
RX3,99.11%,91.84%,,,89.08%,89.51%,80.55%,
RBV,100.00%,96.58%,,,92.42%,97.41%,86.33%,
RNA,99.06%,86.08%,,,85.87%,94.97%,74.13%,
RAS,95.54%,93.00%,,,83.43%,81.16%,61.28%,
RJ2,95.80%,77.71%,,,80.93%,89.06%,70.91%,
RBT,98.04%,86.67%,,,91.55%,91.29%,83.53%,
RTD,99.50%,91.72%,,,92.58%,94.23%,58.57%,
RQW,95.53%,80.71%,,,80.12%,85.88%,70.82%,
RCX,98.50%,87.38%,,,79.22%,84.75%,69.98%,
RFR,96.63%,80.20%,,,76.01%,85.10%,59.72%,
RDZ,94.54%,87.07%,,,85.55%,88.65%,72.91%,
RPY,99.26%,98.31%,,,89.03%,96.40%,72.10%,
RL4,97.01%,88.29%,,,86.22%,92.67%,73.10%,
RKE,97.67%,87.24%,,,88.39%,90.47%,76.30%,
RA9,99.39%,88.95%,,,86.56%,94.01%,78.33%,
RWD,91.86%,81.63%,,,86.04%,84.98%,68.23%,
RRV,99.37%,87.13%,,,91.04%,96.53%,73.19%,
RRK,98.55%,94.39%,,,93.34%,98.31%,84.44%,
RJE,98.65%,90.95%,,,87.65%,95.85%,86.95%,
RM2,96.49%,88.64%,,,91.29%,89.31%,85.54%,
RHM,96.15%,85.98%,,,78.13%,88.55%,69.42%,
RA7,98.91%,96.66%,,,97.36%,91.33%,93.89%,
RKB,100.00%,94.64%,,,94.40%,97.32%,89.66%,
RWE,93.74%,77.01%,,,83.65%,78.90%,67.10%,
RTX,96.24%,86.74%,,,82.43%,86.61%,81.77%,
RBK,98.90%,89.83%,,,91.34%,94.00%,71.74%,
RET,99.93%,98.44%,,,97.11%,98.71%,95.05%,
RWW,99.28%,87.63%,,,83.05%,89.97%,63.41%,
RWG,94.02%,80.53%,,,77.71%,83.54%,60.94%,
RKL,86.81%,74.23%,,,85.35%,75.22%,81.62%,
RGR,99.49%,84.78%,,,79.89%,84.77%,65.06%,
RYR,99.71%,89.87%,,,83.88%,93.05%,69.64%,
RA3,98.55%,92.56%,,,89.82%,94.46%,81.31%,
RBL,99.45%,90.12%,,,84.04%,93.84%,67.51%,
RWP,97.94%,87.74%,,,85.48%,89.62%,67.76%,
R1A,99.75%,94.78%,,,84.05%,88.12%,70.60%,
RRF,100.00%,96.87%,,,93.44%,99.56%,91.55%,
RLQ,96.35%,87.16%,,,81.21%,90.53%,74.27%,
RA4,93.12%,66.62%,,,80.47%,85.49%,42.31%,
RCB,99.45%,84.54%,,,82.43%,92.39%,61.89%,
