ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RTQ,98.07%,94.67%,,,95.94%,98.12%,96.55%,
RTV,99.72%,97.42%,,,90.81%,90.62%,88.82%,
REM,99.03%,91.19%,,,95.68%,96.75%,87.96%,
RCF,95.64%,94.97%,,,81.45%,77.17%,77.44%,
RBS,98.41%,98.60%,,,87.63%,96.43%,87.32%,
RTK,99.47%,95.25%,,,85.41%,88.15%,72.37%,
RVN,98.71%,85.93%,,,91.70%,93.71%,77.88%,
RF4,94.39%,85.89%,,,70.85%,83.93%,62.30%,
RRP,98.75%,93.93%,,,89.11%,92.51%,83.19%,
RFF,96.58%,91.52%,,,85.10%,86.70%,76.22%,
R1H,99.31%,87.54%,,,81.84%,93.79%,88.15%,
RDD,99.82%,80.96%,,,89.14%,95.21%,87.28%,
RC1,99.55%,93.67%,,,78.01%,89.94%,74.45%,
RWX,98.94%,95.98%,,,93.90%,95.56%,94.27%,
RXT,100.00%,96.70%,,,94.25%,95.62%,94.65%,
RQ3,99.65%,82.61%,,,89.68%,90.99%,0.00%,
RYW,100.00%,96.33%,,,87.59%,98.83%,96.11%,
RLU,98.30%,92.39%,,,89.87%,91.28%,0.00%,
RXL,98.23%,91.60%,,,90.75%,90.75%,60.81%,
RMC,92.20%,87.72%,,,83.10%,88.69%,74.39%,
RAE,98.10%,80.67%,,,85.32%,86.31%,80.77%,
RY2,99.43%,81.87%,,,90.48%,96.88%,82.89%,
RXH,99.57%,96.89%,,,84.06%,82.94%,62.89%,
RXQ,98.36%,88.23%,,,79.02%,90.29%,66.15%,
RJF,96.36%,74.44%,,,80.27%,79.94%,58.70%,
RWY,98.96%,79.19%,,,89.97%,94.34%,77.56%,
RJX,97.98%,95.93%,,,95.06%,93.83%,0.00%,
RGT,98.07%,86.00%,,,83.98%,90.37%,73.36%,
RT1,97.97%,88.63%,,,88.47%,91.05%,78.91%,
RYV,98.85%,90.72%,,,100.00%,87.69%,0.00%,
RV3,99.24%,91.32%,,,91.70%,92.01%,89.79%,
RYX,99.32%,92.35%,,,88.22%,93.48%,80.77%,
RW3,98.22%,90.62%,,,88.04%,95.15%,83.67%,
RQM,99.18%,87.89%,,,91.62%,92.23%,81.85%,
RXA,93.43%,86.55%,,,89.86%,91.44%,77.49%,
RFS,91.53%,74.89%,,,81.38%,91.56%,70.79%,
RLN,99.51%,96.00%,,,89.93%,95.76%,76.34%,
REN,99.78%,75.56%,,,87.29%,94.87%,76.92%,
RDE,99.13%,90.60%,,,89.33%,93.00%,66.09%,
RJ8,97.52%,89.57%,,,93.90%,91.18%,90.51%,
RJR,99.28%,86.84%,,,79.30%,89.17%,67.36%,
RXP,97.69%,92.21%,,,88.16%,91.16%,47.88%,
RYG,99.75%,90.34%,,,92.08%,94.86%,87.49%,
RJ6,97.56%,90.65%,,,75.69%,84.02%,70.38%,
RNN,98.06%,92.28%,,,83.23%,87.01%,79.00%,
RN7,99.01%,90.48%,,,84.02%,96.07%,77.97%,
RTG,98.47%,90.28%,,,91.65%,94.32%,70.52%,
RY8,99.70%,93.71%,,,87.15%,94.70%,80.53%,
RXM,99.01%,94.09%,,,94.68%,96.98%,96.09%,
RWV,99.20%,83.15%,,,89.11%,92.15%,93.69%,
RP5,98.39%,88.91%,,,84.56%,89.77%,72.23%,
RBD,99.17%,91.63%,,,92.49%,90.39%,77.78%,
RDY,94.36%,84.39%,,,85.46%,87.43%,83.48%,
RYK,99.18%,84.02%,,,88.36%,86.02%,78.82%,
RWH,95.54%,70.35%,,,68.99%,83.00%,68.12%,
RJN,99.36%,96.12%,,,91.64%,96.85%,86.91%,
RVV,94.44%,82.79%,,,77.16%,89.72%,72.19%,
RXR,96.47%,74.73%,,,85.43%,90.43%,85.07%,
RWK,99.25%,90.47%,,,90.02%,91.33%,72.81%,
RXC,96.00%,88.55%,,,82.18%,88.79%,61.30%,
RVR,97.20%,83.22%,,,77.51%,85.89%,65.60%,
RDU,98.87%,92.65%,,,86.70%,93.54%,87.53%,
RR7,99.78%,93.52%,,,84.83%,93.09%,65.32%,
RLT,97.58%,88.10%,,,81.97%,89.28%,79.51%,
RTE,96.83%,84.04%,,,82.74%,90.83%,74.65%,
RP4,96.75%,88.40%,,,94.85%,91.07%,0.00%,
RN3,97.65%,86.97%,,,92.23%,93.43%,85.56%,
RXV,100.00%,93.96%,,,95.14%,98.78%,93.39%,
RJ1,99.75%,92.61%,,,90.43%,93.57%,82.18%,
RN5,97.09%,86.74%,,,79.90%,87.26%,61.15%,
RCD,99.14%,93.29%,,,78.91%,92.77%,60.36%,
RR1,97.57%,91.37%,,,78.44%,86.26%,62.46%,
RY4,98.55%,81.86%,,,77.45%,88.25%,69.69%,
RWR,98.96%,84.15%,,,88.81%,88.71%,85.57%,
RQQ,99.27%,93.20%,,,93.01%,92.98%,81.38%,
RQX,91.27%,79.12%,,,75.36%,77.07%,49.31%,
RY9,99.59%,93.34%,,,95.24%,96.27%,86.31%,
RWA,95.78%,93.84%,,,80.64%,80.49%,49.62%,
RV9,99.31%,93.34%,,,88.97%,90.92%,74.22%,
RYJ,98.60%,86.07%,,,78.39%,86.76%,67.60%,
RGQ,95.19%,84.76%,,,82.34%,78.71%,61.18%,
R1F,97.01%,84.57%,,,86.67%,91.43%,75.77%,
RGP,98.47%,89.49%,,,76.36%,88.03%,67.92%,
RXY,99.25%,90.34%,,,91.38%,93.88%,90.09%,
RYY,97.47%,90.76%,,,81.84%,89.07%,57.69%,
RNQ,91.25%,80.89%,,,73.23%,80.58%,67.57%,
RJZ,97.23%,88.86%,,,79.14%,87.62%,71.21%,
