ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RTQ,99.98%,90.62%,84.84%,98.03%,94.98%,98.96%,91.76%,83.28%
RTV,98.65%,98.63%,96.90%,100.00%,90.02%,93.20%,84.40%,81.80%
REM,99.61%,96.66%,91.67%,97.45%,92.53%,98.53%,91.90%,89.28%
RCF,96.47%,82.85%,85.56%,82.22%,88.14%,95.01%,86.12%,82.30%
RBS,96.88%,99.04%,93.18%,100.00%,98.76%,99.17%,0.00%,100.00%
RTK,99.80%,97.66%,92.02%,99.82%,80.97%,92.19%,77.68%,84.02%
RVN,99.41%,93.65%,90.38%,95.67%,90.13%,96.66%,76.78%,83.58%
RF4,99.93%,98.16%,93.70%,99.10%,84.80%,98.94%,81.37%,82.75%
RRP,98.99%,97.00%,98.97%,96.22%,93.17%,98.43%,93.92%,89.91%
RFF,99.79%,91.58%,93.70%,90.97%,88.58%,97.15%,85.39%,88.04%
R1H,99.96%,92.45%,98.20%,91.12%,87.44%,98.48%,76.77%,81.63%
RDD,98.92%,84.95%,96.67%,82.95%,79.45%,97.38%,70.42%,71.03%
RC1,99.54%,94.89%,89.07%,95.95%,79.90%,97.15%,77.06%,85.73%
RWX,99.76%,95.29%,95.71%,94.67%,96.65%,99.20%,98.86%,97.66%
RXT,100.00%,97.97%,95.68%,100.00%,97.43%,99.96%,98.48%,95.96%
RQ3,99.97%,92.89%,85.45%,96.71%,90.15%,99.39%,85.06%,86.16%
RYW,98.29%,91.63%,92.83%,90.56%,83.98%,97.35%,89.56%,84.22%
RLU,-,-,-,-,-,-,-,-
RXL,98.24%,97.18%,97.27%,97.27%,91.90%,97.14%,83.71%,89.17%
RMC,97.99%,91.16%,86.40%,92.26%,86.17%,96.11%,76.38%,83.95%
RAE,98.21%,92.91%,93.90%,92.82%,81.18%,97.42%,70.82%,72.29%
RY2,-,-,-,-,-,-,-,-
RXH,98.44%,87.03%,89.80%,86.25%,70.44%,89.94%,63.20%,70.76%
RXQ,99.52%,93.78%,93.08%,93.84%,85.21%,96.25%,70.56%,71.91%
RJF,-,-,-,-,-,-,-,-
RWY,99.08%,91.34%,95.50%,90.40%,92.68%,98.78%,82.40%,85.94%
RJX,-,-,-,-,-,-,-,-
RGT,98.31%,92.16%,94.81%,91.73%,81.75%,95.85%,80.62%,78.84%
RT1,99.85%,96.22%,94.02%,98.23%,94.30%,99.07%,98.18%,95.87%
RYV,-,-,-,-,-,-,-,-
RV3,99.71%,94.42%,89.37%,97.70%,95.88%,98.06%,94.08%,93.07%
RYX,99.74%,94.86%,93.30%,95.75%,86.45%,95.60%,85.43%,84.71%
RW3,-,-,-,-,-,-,-,-
RQM,99.75%,97.98%,96.87%,98.29%,93.76%,99.65%,94.14%,94.13%
RXA,99.92%,97.63%,95.70%,100.00%,92.97%,91.06%,91.51%,90.07%
RFS,99.25%,91.87%,98.89%,89.94%,87.97%,97.69%,84.47%,87.00%
RLN,-,-,-,-,-,-,-,-
