ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
REN,100.00%,79.84%,62.88%,97.62%,97.27%,100.00%,94.30%,90.58%
RDE,99.38%,92.93%,90.68%,93.72%,82.99%,96.94%,75.14%,79.68%
RJ8,97.91%,90.39%,86.06%,94.79%,79.19%,90.28%,72.97%,73.18%
RJR,99.73%,91.77%,96.69%,90.58%,80.01%,98.44%,76.13%,80.23%
RXP,99.45%,97.45%,97.09%,97.74%,85.32%,98.54%,78.56%,80.66%
RYG,98.30%,92.27%,80.75%,97.09%,92.73%,94.12%,90.81%,82.90%
RJ6,99.30%,98.60%,97.78%,98.82%,90.92%,96.32%,93.22%,95.54%
RNN,92.46%,87.93%,83.03%,89.27%,77.30%,92.11%,72.24%,75.48%
RN7,99.58%,90.90%,92.96%,90.38%,81.03%,97.14%,76.77%,82.03%
RTG,99.56%,93.12%,87.32%,94.44%,88.94%,96.69%,75.27%,78.69%
RY8,98.79%,89.79%,81.96%,98.01%,93.90%,98.47%,93.24%,89.85%
RXM,95.81%,87.20%,83.66%,90.95%,91.12%,95.59%,92.93%,81.75%
RWV,98.09%,93.39%,88.74%,96.00%,95.95%,94.60%,91.74%,92.83%
RP5,98.64%,90.70%,93.52%,90.14%,86.92%,98.67%,75.15%,77.58%
RBD,99.76%,94.29%,97.04%,93.38%,86.39%,99.69%,79.56%,81.91%
RDY,97.60%,91.39%,84.21%,96.37%,87.67%,95.50%,89.70%,85.77%
RYK,97.61%,87.03%,75.18%,98.08%,86.50%,91.90%,81.61%,80.56%
RWH,99.63%,91.85%,96.58%,90.73%,82.50%,98.57%,75.56%,79.32%
RJN,99.34%,96.43%,93.42%,98.23%,86.36%,95.37%,87.97%,89.26%
RVV,98.67%,92.31%,92.64%,92.29%,78.00%,96.77%,81.59%,85.71%
RXR,97.78%,85.07%,93.87%,82.57%,86.67%,92.95%,86.91%,85.16%
RWK,97.02%,86.91%,90.85%,82.22%,93.18%,90.93%,97.40%,89.66%
RXC,98.68%,94.46%,91.53%,95.37%,83.86%,99.38%,74.70%,79.37%
RVR,97.34%,82.74%,82.68%,82.88%,74.13%,91.48%,68.69%,70.43%
RDU,-,-,-,-,-,-,-,-
RR7,99.96%,99.61%,98.37%,100.00%,98.39%,99.71%,97.59%,96.79%
RLT,98.97%,92.39%,81.48%,96.58%,81.17%,97.42%,89.34%,90.13%
RTE,94.29%,83.99%,77.51%,85.68%,74.15%,93.75%,68.35%,68.80%
RP4,98.46%,92.57%,90.93%,92.81%,93.09%,96.71%,0.00%,93.42%
RN3,94.09%,89.16%,92.50%,88.46%,76.94%,92.30%,74.92%,75.39%
RXV,99.40%,86.84%,88.64%,86.19%,93.23%,97.59%,85.49%,84.99%
RJ1,99.56%,97.09%,95.93%,97.43%,91.06%,98.88%,88.63%,88.76%
RN5,98.29%,85.58%,85.56%,85.58%,81.39%,94.57%,65.65%,69.75%
RCD,99.27%,88.57%,90.12%,87.63%,72.69%,97.56%,70.76%,75.01%
RR1,-,-,-,-,-,-,-,-
RY4,98.72%,93.80%,95.00%,92.76%,87.37%,99.22%,83.63%,86.30%
RWR,99.42%,96.74%,96.33%,96.80%,93.83%,98.99%,93.57%,91.15%
RQQ,-,-,-,-,-,-,-,-
RQX,99.81%,93.67%,96.41%,93.21%,84.71%,97.47%,86.58%,88.42%
RY9,100.00%,96.74%,94.81%,98.81%,91.23%,99.01%,99.17%,100.00%
RWA,97.33%,93.72%,88.89%,94.84%,86.36%,94.99%,78.83%,87.54%
RV9,99.25%,94.99%,90.01%,99.75%,88.54%,94.41%,84.29%,83.21%
RYJ,99.64%,93.03%,98.20%,91.44%,83.11%,98.77%,84.79%,85.28%
RGQ,-,-,-,-,-,-,-,-
R1F,93.11%,92.40%,89.44%,93.38%,82.17%,92.82%,76.02%,72.41%
RGP,99.68%,96.89%,96.30%,97.14%,87.01%,97.91%,85.37%,89.84%
RXY,99.03%,82.29%,89.49%,75.70%,94.04%,95.23%,81.69%,80.45%
RYY,99.18%,92.03%,86.39%,98.54%,86.34%,95.26%,86.95%,86.30%
RNQ,98.58%,88.66%,80.56%,90.38%,81.67%,97.01%,80.79%,82.90%
RJZ,97.65%,87.17%,91.63%,86.19%,78.24%,95.64%,69.64%,68.41%
RAX,98.60%,90.95%,96.21%,89.96%,85.71%,98.65%,85.34%,88.70%
RW5,99.20%,83.92%,83.38%,84.58%,94.48%,98.37%,91.42%,92.36%
RXN,99.88%,81.68%,82.78%,81.44%,87.57%,97.65%,69.90%,69.45%
RGD,96.02%,83.00%,77.33%,87.96%,89.34%,95.39%,91.18%,84.08%
RY6,95.24%,95.60%,94.04%,97.24%,86.62%,95.00%,72.22%,86.92%
RR8,99.82%,97.09%,94.53%,97.68%,89.94%,98.52%,81.92%,82.91%
RT5,98.57%,90.52%,88.71%,91.90%,86.03%,86.02%,73.86%,78.17%
RY5,98.19%,84.27%,81.67%,87.05%,84.05%,93.37%,74.72%,74.82%
RP7,98.20%,87.91%,83.48%,92.89%,84.11%,93.36%,74.86%,72.96%
RY1,-,-,-,-,-,-,-,-
RBQ,98.91%,99.29%,100.00%,98.95%,93.98%,98.26%,91.72%,91.96%
REP,99.89%,96.27%,96.02%,96.43%,86.52%,96.97%,77.50%,75.00%
R1K,98.88%,89.81%,97.42%,87.91%,86.14%,96.36%,78.15%,76.83%
RC9,96.02%,92.73%,94.70%,92.33%,78.20%,93.39%,78.56%,84.01%
RWF,99.41%,88.65%,78.85%,91.38%,85.57%,98.70%,86.71%,86.18%
RPA,96.13%,84.71%,95.93%,83.46%,82.96%,92.00%,63.63%,64.10%
RW4,98.32%,91.56%,85.50%,95.70%,89.76%,95.24%,88.11%,79.55%
RQ8,99.44%,82.53%,91.77%,80.84%,79.18%,97.79%,77.35%,74.49%
RXF,99.77%,93.22%,85.56%,94.92%,86.69%,99.45%,85.63%,84.98%
RD8,95.28%,82.07%,94.07%,79.27%,82.55%,93.89%,77.30%,79.45%
RP6,-,-,-,-,-,-,-,-
RM1,99.23%,86.38%,88.33%,86.07%,82.90%,97.87%,71.64%,71.59%
RMY,99.45%,93.53%,94.40%,92.77%,95.05%,99.07%,92.24%,94.05%
RY3,99.30%,90.63%,84.49%,96.46%,90.04%,95.61%,86.51%,81.79%
RVJ,96.06%,94.61%,85.56%,96.23%,89.26%,96.82%,76.35%,77.76%
RNL,-,-,-,-,-,-,-,-
RAT,99.76%,94.14%,88.28%,99.93%,88.96%,90.40%,84.53%,80.25%
RRD,-,-,-,-,-,-,-,-
RAP,97.49%,86.05%,98.33%,82.96%,90.83%,94.93%,89.99%,90.56%
RLY,99.33%,98.26%,95.74%,99.67%,94.69%,96.80%,96.23%,91.35%
RVW,99.89%,95.93%,95.70%,96.01%,88.16%,99.72%,85.57%,84.73%
RNS,99.02%,97.56%,95.19%,98.08%,88.17%,98.11%,90.41%,93.54%
RP1,99.79%,96.64%,96.06%,96.04%,96.76%,97.83%,97.25%,95.47%
RBZ,97.94%,83.44%,79.26%,85.85%,86.44%,97.57%,82.02%,82.96%
RJL,99.28%,90.05%,86.74%,90.96%,85.89%,97.53%,82.69%,85.70%
RX4,98.90%,91.59%,89.34%,94.41%,89.50%,97.92%,85.58%,79.97%
RTF,99.97%,99.13%,98.15%,99.67%,95.39%,99.61%,97.14%,97.11%
RX1,97.51%,91.03%,100.00%,89.80%,82.30%,94.64%,65.98%,71.41%
RHA,96.46%,94.01%,88.57%,97.19%,87.58%,94.52%,76.83%,84.22%
RNU,99.31%,95.90%,94.35%,97.71%,93.90%,98.47%,97.66%,96.41%
RTH,96.31%,89.21%,86.67%,89.87%,74.68%,93.02%,73.15%,75.36%
RPG,98.93%,89.82%,90.79%,88.25%,89.92%,96.07%,91.66%,88.17%
RGM,98.96%,95.87%,94.81%,96.13%,85.47%,98.36%,82.51%,84.35%
RW6,99.53%,95.03%,94.12%,95.53%,76.43%,97.80%,81.95%,83.74%
RT2,98.49%,92.82%,88.64%,97.24%,91.66%,96.17%,92.91%,87.87%
RGN,99.04%,92.82%,90.57%,93.48%,89.05%,98.03%,85.59%,85.19%
RK9,99.09%,94.61%,91.48%,94.84%,86.61%,94.86%,86.50%,86.46%
RD3,98.31%,94.06%,85.23%,95.73%,81.47%,94.47%,73.74%,74.42%
RHU,98.83%,90.79%,80.37%,92.83%,86.43%,97.16%,82.64%,83.62%
RPC,99.74%,79.03%,92.41%,71.60%,85.51%,96.26%,70.47%,75.78%
RL1,99.91%,96.15%,90.00%,100.00%,94.66%,98.31%,89.43%,89.33%
RXE,95.66%,92.46%,83.76%,99.19%,89.40%,94.13%,75.59%,74.13%
RHW,99.53%,97.61%,96.48%,97.84%,87.50%,97.49%,86.77%,87.61%
RT3,99.43%,93.88%,92.51%,94.49%,90.37%,99.00%,86.20%,82.93%
REF,96.18%,89.16%,90.73%,89.15%,73.45%,93.17%,83.99%,86.84%
RH8,98.61%,88.88%,85.66%,89.64%,78.66%,96.85%,66.63%,68.37%
RAL,99.50%,93.27%,91.49%,93.77%,88.52%,98.53%,77.93%,81.36%
RQ6,98.99%,96.52%,94.81%,97.16%,86.05%,94.34%,71.86%,79.01%
RAN,96.99%,92.17%,99.26%,88.51%,78.11%,92.89%,67.29%,67.79%
RRJ,99.40%,92.03%,93.70%,91.49%,84.35%,93.55%,82.44%,81.94%
RA2,99.44%,97.33%,97.14%,97.42%,89.07%,98.58%,95.66%,96.76%
RD1,99.69%,92.87%,84.47%,94.35%,79.24%,96.34%,69.83%,71.36%
RM3,99.53%,93.64%,88.89%,94.76%,91.20%,98.47%,86.20%,86.75%
RNZ,96.72%,91.37%,96.67%,89.80%,85.80%,97.41%,79.26%,75.48%
RXK,99.55%,97.33%,97.19%,97.38%,82.79%,98.89%,73.62%,77.77%
RCU,99.70%,92.65%,89.50%,94.87%,82.80%,97.64%,0.00%,85.30%
RHQ,99.87%,91.71%,95.07%,90.99%,84.01%,98.37%,77.10%,77.29%
RK5,99.92%,92.26%,97.44%,91.18%,87.99%,99.48%,84.14%,85.14%
RXW,99.60%,82.34%,86.26%,81.22%,76.58%,94.66%,70.11%,73.98%
R1D,99.84%,98.57%,97.08%,100.00%,95.44%,98.29%,96.36%,95.48%
R1C,96.36%,94.98%,99.22%,92.02%,89.50%,92.74%,88.04%,87.13%
RH5,99.99%,89.94%,82.12%,98.50%,86.31%,99.30%,90.83%,87.43%
RWN,-,-,-,-,-,-,-,-
RV5,99.57%,89.74%,95.33%,87.85%,95.65%,98.81%,94.44%,93.80%
RRE,98.26%,97.08%,96.69%,97.89%,96.47%,96.88%,97.39%,92.74%
RTR,96.16%,94.37%,99.14%,93.30%,86.04%,93.26%,85.64%,89.22%
RE9,-,-,-,-,-,-,-,-
RJC,99.69%,94.78%,96.06%,94.60%,91.57%,98.67%,86.20%,89.40%
RQY,95.70%,95.84%,95.43%,95.98%,94.90%,84.45%,96.46%,95.94%
RXG,99.40%,93.70%,94.79%,92.40%,96.20%,98.61%,96.50%,94.25%
RAJ,99.46%,90.81%,93.70%,90.37%,79.95%,95.61%,77.82%,77.62%
RW1,96.93%,90.61%,87.77%,92.37%,86.50%,87.55%,77.11%,72.39%
RVY,97.56%,88.06%,70.77%,94.60%,74.62%,92.03%,76.63%,77.31%
RJ7,92.73%,89.11%,91.25%,89.04%,80.54%,90.61%,77.64%,73.36%
RBN,100.00%,99.45%,98.36%,99.88%,98.81%,100.00%,96.73%,99.42%
R1E,-,-,-,-,-,-,-,-
RWJ,97.45%,88.43%,89.44%,88.13%,81.47%,97.28%,65.95%,67.37%
RXX,99.53%,90.70%,93.68%,88.73%,90.89%,98.86%,93.47%,92.87%
RTP,99.26%,85.04%,83.33%,85.43%,85.15%,98.34%,77.55%,82.42%
RDR,98.70%,95.58%,94.02%,96.98%,84.76%,94.78%,81.31%,82.18%
RX2,96.68%,95.12%,95.43%,94.85%,93.08%,96.96%,91.68%,89.66%
RMP,99.32%,94.20%,90.19%,96.20%,91.35%,99.73%,93.17%,93.74%
RBA,98.24%,98.87%,98.33%,98.99%,90.14%,97.34%,93.97%,92.40%
RX3,99.04%,95.80%,93.15%,98.71%,95.77%,97.68%,95.73%,93.66%
RBV,99.38%,97.67%,100.00%,96.43%,95.71%,98.44%,93.55%,89.89%
RNA,97.39%,81.49%,87.59%,79.94%,89.41%,93.43%,77.72%,82.27%
RAS,98.32%,95.09%,99.26%,93.65%,83.59%,90.40%,73.38%,75.09%
RJ2,97.74%,87.89%,95.28%,86.45%,81.75%,99.44%,82.46%,85.91%
RBT,97.27%,96.58%,92.11%,97.33%,86.21%,93.17%,77.67%,77.95%
RTD,99.66%,91.70%,83.95%,93.36%,87.39%,98.68%,66.23%,71.52%
RQW,98.12%,93.15%,93.89%,92.99%,81.70%,93.75%,75.00%,74.67%
RCX,99.95%,90.07%,79.81%,93.56%,80.36%,98.78%,75.87%,75.90%
RFR,97.73%,94.04%,96.59%,93.39%,85.66%,92.89%,71.49%,77.38%
RDZ,96.90%,95.72%,93.87%,96.24%,84.75%,94.73%,85.45%,85.10%
RPY,98.52%,94.93%,90.39%,98.63%,94.15%,97.21%,95.29%,94.80%
RL4,99.62%,96.43%,97.26%,96.27%,89.25%,98.67%,83.08%,86.37%
RKE,98.78%,91.01%,89.63%,91.44%,84.17%,96.35%,73.71%,77.46%
RA9,99.18%,92.38%,95.88%,92.19%,92.45%,94.77%,83.26%,86.75%
RWD,95.16%,89.68%,93.15%,89.00%,76.03%,92.29%,65.79%,68.21%
RRV,98.73%,90.77%,88.00%,90.84%,74.21%,94.12%,75.31%,80.53%
RRK,98.17%,95.92%,98.11%,95.41%,82.98%,96.58%,81.64%,85.02%
RJE,99.95%,95.03%,90.47%,96.30%,91.49%,99.56%,91.21%,92.97%
RM2,-,-,-,-,-,-,-,-
RHM,97.02%,88.33%,98.36%,87.25%,76.76%,95.98%,73.21%,77.23%
RA7,99.41%,96.35%,98.94%,95.03%,87.73%,95.44%,82.17%,81.48%
RKB,99.31%,93.44%,97.39%,92.37%,79.68%,98.95%,64.41%,72.90%
RWE,97.76%,88.56%,90.37%,88.16%,83.56%,87.48%,73.18%,76.16%
RTX,98.98%,99.42%,97.68%,100.00%,97.69%,95.55%,94.82%,94.52%
RBK,97.41%,87.50%,93.89%,86.04%,83.78%,95.58%,71.04%,73.70%
RET,100.00%,96.30%,99.26%,94.44%,95.72%,99.43%,89.33%,89.33%
RWW,99.61%,87.85%,84.79%,88.83%,80.85%,96.58%,75.83%,75.86%
RWG,98.99%,87.31%,88.89%,86.77%,73.96%,91.03%,66.04%,66.83%
RKL,94.57%,85.04%,77.03%,90.80%,89.74%,90.32%,84.14%,86.18%
RGR,100.00%,92.40%,88.90%,93.79%,88.37%,98.49%,86.39%,90.16%
RYR,99.79%,94.08%,95.43%,93.66%,89.23%,98.01%,95.41%,98.14%
RA3,98.76%,92.37%,85.37%,96.62%,84.96%,95.87%,87.13%,89.04%
RBL,99.01%,84.52%,87.10%,83.65%,81.89%,98.34%,80.81%,91.10%
RWP,98.51%,81.81%,88.01%,80.75%,78.95%,96.63%,73.50%,75.59%
R1A,99.93%,96.70%,96.71%,96.76%,92.42%,98.43%,83.51%,86.51%
RRF,100.00%,95.79%,90.74%,97.28%,92.98%,100.00%,98.22%,99.05%
RLQ,94.01%,84.71%,92.38%,80.53%,74.69%,91.87%,72.47%,70.30%
RA4,99.12%,98.46%,98.15%,98.56%,84.96%,98.59%,91.43%,96.23%
RCB,97.42%,85.01%,87.98%,83.95%,81.11%,95.76%,71.35%,69.55%
