ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RWR,97.42%,92.69%,90.77%,93.88%,87.79%,90.93%,80.52%,81.21%
RQQ,-,-,-,-,-,-,-,-
RQX,99.26%,93.28%,96.72%,92.27%,85.34%,97.28%,92.85%,91.41%
RY9,99.85%,97.08%,95.74%,98.36%,89.68%,95.73%,89.10%,89.92%
RWA,98.87%,92.16%,86.95%,93.18%,85.93%,94.57%,78.84%,88.08%
RV9,99.15%,90.64%,82.69%,99.02%,86.95%,95.14%,69.81%,79.67%
RYJ,98.67%,91.83%,95.10%,90.76%,75.48%,95.34%,78.70%,78.56%
RGQ,97.03%,86.69%,89.23%,86.32%,77.27%,82.34%,67.37%,77.95%
R1F,93.21%,84.79%,80.96%,85.77%,78.22%,91.79%,73.01%,70.92%
RGP,99.31%,87.56%,79.24%,91.39%,73.21%,94.71%,81.90%,82.95%
RXY,99.43%,87.03%,85.43%,89.14%,88.41%,94.51%,86.94%,81.87%
RYY,99.39%,92.60%,89.69%,96.40%,81.83%,89.87%,72.30%,80.69%
RNQ,97.42%,80.36%,77.18%,81.37%,71.85%,86.06%,60.33%,69.83%
RJZ,97.34%,92.41%,97.80%,91.22%,75.46%,89.83%,70.46%,73.06%
RAX,97.54%,90.14%,94.57%,89.50%,84.85%,93.89%,79.08%,88.97%
RW5,99.06%,91.45%,92.20%,90.73%,95.02%,98.25%,88.32%,92.19%
RXN,99.96%,87.30%,84.19%,87.95%,79.19%,96.89%,72.82%,77.99%
RGD,99.31%,85.98%,82.33%,89.17%,93.41%,97.34%,91.25%,90.24%
RY6,95.69%,87.30%,83.20%,93.21%,91.51%,91.89%,79.02%,96.00%
RR8,99.69%,94.82%,92.90%,95.17%,88.50%,97.71%,85.02%,88.00%
RT5,98.78%,90.19%,82.48%,96.37%,83.15%,92.49%,75.81%,89.02%
RY5,98.39%,87.80%,86.78%,90.23%,80.16%,87.20%,73.78%,82.23%
RP7,98.04%,84.62%,81.50%,87.57%,85.76%,93.59%,70.50%,80.40%
RY1,-,-,-,-,-,-,-,-
RBQ,98.71%,98.70%,98.38%,98.83%,96.82%,98.19%,92.46%,93.49%
REP,99.86%,92.62%,91.58%,93.28%,85.08%,93.92%,77.14%,77.91%
R1K,97.99%,87.71%,94.48%,85.12%,69.30%,93.20%,82.55%,80.02%
RC9,94.94%,85.59%,88.91%,85.07%,77.19%,88.74%,74.58%,79.90%
RWF,99.93%,94.33%,93.85%,94.52%,91.49%,98.90%,94.89%,96.12%
RPA,98.06%,80.49%,85.59%,79.07%,78.54%,91.58%,75.13%,80.51%
RW4,99.30%,93.78%,89.82%,96.05%,95.01%,97.59%,91.83%,93.73%
RQ8,99.10%,85.62%,91.44%,84.41%,81.68%,94.67%,77.08%,82.97%
RXF,97.54%,85.77%,77.82%,88.11%,72.16%,94.88%,67.08%,78.45%
RD8,94.84%,83.70%,87.37%,82.49%,79.32%,93.03%,84.58%,84.39%
RP6,99.81%, -, -, -,92.05%,99.59%,93.30%,96.55%
RM1,99.29%,86.87%,90.90%,86.07%,88.26%,95.18%,89.29%,90.18%
RMY,99.51%,99.21%,98.35%,99.75%,94.52%,98.20%,92.86%,97.55%
RY3,99.36%,96.39%,95.23%,97.61%,86.69%,95.49%,88.89%,89.65%
RVJ,95.49%,91.28%,81.19%,92.36%,87.11%,91.34%,77.09%,87.17%
RNL,91.83%,78.78%,86.68%,77.35%,68.58%,84.37%,68.77%,72.63%
RAT,99.88%,93.89%,91.89%,95.73%,85.47%,92.79%,80.85%,85.51%
RRD,-,-,-,-,-,-,-,-
RAP,95.23%,82.94%,91.15%,81.28%,88.12%,94.83%,87.71%,86.95%
RLY,99.47%,96.26%,93.08%,98.47%,97.07%,98.90%,91.99%,98.20%
RVW,99.88%,92.71%,91.90%,93.04%,93.49%,97.76%,86.00%,87.04%
RNS,99.59%,91.61%,92.87%,91.11%,90.37%,98.22%,87.08%,97.07%
RP1,99.61%,96.95%,90.88%,99.60%,93.90%,98.00%,92.98%,93.63%
RBZ,97.77%,85.87%,91.72%,83.76%,81.61%,94.96%,79.76%,89.28%
RJL,99.34%,93.13%,86.82%,94.71%,84.47%,94.87%,66.88%,79.04%
RX4,99.16%,90.52%,87.77%,92.97%,93.50%,95.94%,90.19%,87.17%
RTF,99.88%,98.62%,97.95%,98.83%,95.36%,99.17%,97.02%,97.45%
RX1,93.51%,91.63%,89.17%,91.85%,74.32%,90.71%,68.31%,76.78%
RHA,96.64%,88.01%,86.03%,89.65%,91.20%,92.97%,78.56%,88.76%
RNU,99.21%,91.42%,91.85%,91.38%,92.15%,95.74%,93.54%,90.45%
RTH,95.42%,85.89%,90.45%,84.22%,81.15%,90.71%,70.01%,76.19%
RPG,99.07%,91.74%,93.76%,89.26%,95.85%,97.83%,96.67%,96.21%
RGM,99.66%,89.78%,90.79%,89.36%,77.44%,95.23%,79.89%,77.94%
RW6,99.19%,90.59%,93.93%,89.62%,87.20%,93.51%,74.90%,85.55%
RT2,99.28%,89.93%,89.10%,90.59%,88.73%,95.55%,87.14%,90.64%
RGN,99.09%,89.68%,89.62%,89.62%,86.32%,96.63%,79.39%,86.37%
RK9,99.22%,95.04%,94.45%,95.08%,87.50%,90.22%,86.11%,88.24%
RD3,98.10%,91.89%,94.48%,91.56%,77.55%,94.38%,77.61%,81.70%
RHU,97.94%,87.50%,92.83%,86.64%,83.24%,97.59%,76.70%,83.32%
RPC,98.83%,75.33%,85.66%,69.34%,77.16%,84.33%,55.05%,60.96%
RL1,99.42%,94.63%,91.77%,96.67%,84.63%,90.03%,75.80%,81.22%
RXE,98.26%,92.61%,87.90%,97.10%,90.93%,96.86%,91.57%,89.59%
RHW,99.32%,95.69%,98.78%,94.96%,93.97%,96.10%,87.41%,89.42%
RT3,99.31%,94.23%,96.58%,93.57%,92.10%,94.36%,86.90%,87.10%
REF,98.43%,84.91%,86.40%,84.34%,80.17%,92.13%,76.39%,81.13%
RH8,97.41%,89.93%,93.10%,89.53%,81.71%,92.00%,73.36%,81.24%
RAL,99.50%,89.06%,95.02%,87.57%,84.72%,96.37%,82.75%,83.41%
RQ6,99.92%,94.86%,93.34%,95.36%,88.29%,99.30%,86.89%,96.22%
RAN,97.71%,92.66%,98.22%,90.56%,85.36%,89.09%,61.24%,74.42%
RRJ,97.47%,88.57%,91.60%,87.55%,86.67%,94.32%,81.53%,87.52%
RA2,98.95%,93.82%,98.32%,92.59%,87.82%,95.58%,91.21%,94.86%
RD1,98.31%,94.16%,86.12%,95.93%,80.83%,88.72%,72.02%,72.17%
RM3,99.51%,93.26%,93.94%,93.08%,94.67%,96.42%,88.09%,89.74%
RNZ,99.66%,95.21%,98.76%,94.23%,86.37%,96.72%,86.18%,88.03%
RXK,98.73%,93.02%,86.15%,95.77%,85.47%,97.27%,84.96%,88.16%
RCU,99.81%,97.62%,94.01%,99.70%,77.19%,96.68%, -,82.03%
RHQ,99.30%,94.52%,97.84%,93.74%,78.91%,94.78%,77.16%,81.17%
RK5,99.52%,92.46%,91.49%,92.96%,85.08%,96.16%,75.70%,83.75%
RXW,99.95%,94.25%,82.09%,96.22%,72.33%,94.92%,67.51%,75.91%
R1D,99.15%,93.82%,90.17%,97.35%,86.31%,95.41%,90.05%,91.41%
R1C,95.16%,93.48%,95.65%,92.40%,75.06%,91.13%,75.31%,83.15%
RH5,99.93%,92.02%,88.52%,95.51%,90.98%,98.81%,89.50%,93.87%
RWN,-,-,-,-,-,-,-,-
RV5,98.61%,90.14%,91.85%,88.95%,88.74%,95.61%,98.81%,89.02%
RRE,99.61%,94.99%,95.06%,94.91%,96.92%,99.33%,98.13%,98.11%
RTR,98.64%,86.82%,93.99%,84.26%,88.70%,96.44%,85.02%,91.79%
RE9,97.67%,86.02%,89.48%,82.20%,77.40%,96.06%,80.29%,83.53%
RJC,99.72%,90.12%,90.36%,90.41%,85.76%,98.42%,87.78%,92.30%
RQY,98.88%,95.06%,92.69%,95.75%,96.93%,94.93%,93.58%,97.29%
RXG,99.76%,93.64%,94.04%,93.30%,96.74%,98.81%,95.99%,95.85%
RAJ,98.93%,91.74%,93.58%,91.53%,71.36%,85.30%,70.41%,80.26%
