ODS,Year,Q,Variable,Value
RAE,2015,Q1,General and Accute - Available,693
RAE,2015,Q1,General and Accute - Occupied,458
RBL,2015,Q1,General and Accute - Available,728
RBL,2015,Q1,General and Accute - Occupied,639
RBN,2015,Q1,General and Accute - Available,656
RBN,2015,Q1,General and Accute - Occupied,605
RBQ,2015,Q1,General and Accute - Available,153
RBQ,2015,Q1,General and Accute - Occupied,126
RBS,2015,Q1,General and Accute - Available,199
RBS,2015,Q1,General and Accute - Occupied,148
RBT,2015,Q1,General and Accute - Available,526
RBT,2015,Q1,General and Accute - Occupied,503
RBV,2015,Q1,General and Accute - Available,172
RBV,2015,Q1,General and Accute - Occupied,145
RCB,2015,Q1,General and Accute - Available,1015
RCB,2015,Q1,General and Accute - Occupied,926
RCD,2015,Q1,General and Accute - Available,320
RCD,2015,Q1,General and Accute - Occupied,274
RCF,2015,Q1,General and Accute - Available,332
RCF,2015,Q1,General and Accute - Occupied,276
RCU,2015,Q1,General and Accute - Available,133
RCU,2015,Q1,General and Accute - Occupied,90
RE9,2015,Q1,General and Accute - Available,298
RE9,2015,Q1,General and Accute - Occupied,269
REM,2015,Q1,General and Accute - Available,672
REM,2015,Q1,General and Accute - Occupied,640
REN,2015,Q1,General and Accute - Available,69
REN,2015,Q1,General and Accute - Occupied,38
REP,2015,Q1,General and Accute - Available,34
REP,2015,Q1,General and Accute - Occupied,20
RET,2015,Q1,General and Accute - Available,160
RET,2015,Q1,General and Accute - Occupied,141
RFF,2015,Q1,General and Accute - Available,364
RFF,2015,Q1,General and Accute - Occupied,336
RFR,2015,Q1,General and Accute - Available,474
RFR,2015,Q1,General and Accute - Occupied,438
RGD,2015,Q1,General and Accute - Available,
RGD,2015,Q1,General and Accute - Occupied,
RHQ,2015,Q1,General and Accute - Available,1909
RHQ,2015,Q1,General and Accute - Occupied,1510
RJL,2015,Q1,General and Accute - Available,777
RJL,2015,Q1,General and Accute - Occupied,652
RJN,2015,Q1,General and Accute - Available,344
RJN,2015,Q1,General and Accute - Occupied,313
RJR,2015,Q1,General and Accute - Available,494
RJR,2015,Q1,General and Accute - Occupied,488
RJX,2015,Q1,General and Accute - Available,
RJX,2015,Q1,General and Accute - Occupied,
RLN,2015,Q1,General and Accute - Available,745
RLN,2015,Q1,General and Accute - Occupied,536
RM2,2015,Q1,General and Accute - Available,735
RM2,2015,Q1,General and Accute - Occupied,667
RM3,2015,Q1,General and Accute - Available,739
RM3,2015,Q1,General and Accute - Occupied,642
RMC,2015,Q1,General and Accute - Available,591
RMC,2015,Q1,General and Accute - Occupied,485
RMP,2015,Q1,General and Accute - Available,450
RMP,2015,Q1,General and Accute - Occupied,406
RNL,2015,Q1,General and Accute - Available,564
RNL,2015,Q1,General and Accute - Occupied,478
RNN,2015,Q1,General and Accute - Available,
RNN,2015,Q1,General and Accute - Occupied,
RP5,2015,Q1,General and Accute - Available,878
RP5,2015,Q1,General and Accute - Occupied,759
RQ6,2015,Q1,General and Accute - Available,802
RQ6,2015,Q1,General and Accute - Occupied,752
RR7,2015,Q1,General and Accute - Available,457
RR7,2015,Q1,General and Accute - Occupied,444
RR8,2015,Q1,General and Accute - Available,1662
RR8,2015,Q1,General and Accute - Occupied,1483
RRF,2015,Q1,General and Accute - Available,457
RRF,2015,Q1,General and Accute - Occupied,390
RT2,2015,Q1,General and Accute - Available,
RT2,2015,Q1,General and Accute - Occupied,
RTD,2015,Q1,General and Accute - Available,1498
RTD,2015,Q1,General and Accute - Occupied,1296
RTF,2015,Q1,General and Accute - Available,965
RTF,2015,Q1,General and Accute - Occupied,772
RTR,2015,Q1,General and Accute - Available,1002
RTR,2015,Q1,General and Accute - Occupied,798
RTV,2015,Q1,General and Accute - Available,
RTV,2015,Q1,General and Accute - Occupied,
RTX,2015,Q1,General and Accute - Available,703
RTX,2015,Q1,General and Accute - Occupied,574
RV9,2015,Q1,General and Accute - Available,
RV9,2015,Q1,General and Accute - Occupied,
RVW,2015,Q1,General and Accute - Available,591
RVW,2015,Q1,General and Accute - Occupied,502
RVY,2015,Q1,General and Accute - Available,449
RVY,2015,Q1,General and Accute - Occupied,377
RW3,2015,Q1,General and Accute - Available,1091
RW3,2015,Q1,General and Accute - Occupied,991
RW4,2015,Q1,General and Accute - Available,
RW4,2015,Q1,General and Accute - Occupied,
RW5,2015,Q1,General and Accute - Available,
RW5,2015,Q1,General and Accute - Occupied,
RW6,2015,Q1,General and Accute - Available,1182
RW6,2015,Q1,General and Accute - Occupied,1022
RWA,2015,Q1,General and Accute - Available,969
RWA,2015,Q1,General and Accute - Occupied,949
RWJ,2015,Q1,General and Accute - Available,704
RWJ,2015,Q1,General and Accute - Occupied,587
RWW,2015,Q1,General and Accute - Available,559
RWW,2015,Q1,General and Accute - Occupied,492
RWY,2015,Q1,General and Accute - Available,720
RWY,2015,Q1,General and Accute - Occupied,645
RX3,2015,Q1,General and Accute - Available,
RX3,2015,Q1,General and Accute - Occupied,
RX4,2015,Q1,General and Accute - Available,53
RX4,2015,Q1,General and Accute - Occupied,48
RXA,2015,Q1,General and Accute - Available,
RXA,2015,Q1,General and Accute - Occupied,
RXE,2015,Q1,General and Accute - Available,62
RXE,2015,Q1,General and Accute - Occupied,51
RXF,2015,Q1,General and Accute - Available,953
RXF,2015,Q1,General and Accute - Occupied,835
RXG,2015,Q1,General and Accute - Available,76
RXG,2015,Q1,General and Accute - Occupied,69
RXL,2015,Q1,General and Accute - Available,788
RXL,2015,Q1,General and Accute - Occupied,703
RXN,2015,Q1,General and Accute - Available,814
RXN,2015,Q1,General and Accute - Occupied,779
RXP,2015,Q1,General and Accute - Available,1031
RXP,2015,Q1,General and Accute - Occupied,809
RXR,2015,Q1,General and Accute - Available,906
RXR,2015,Q1,General and Accute - Occupied,802
RY6,2015,Q1,General and Accute - Available,59
RY6,2015,Q1,General and Accute - Occupied,56
TAD,2015,Q1,General and Accute - Available,
TAD,2015,Q1,General and Accute - Occupied,
